open,percentchange,relvolume,low,price,symbol,high,watchers,hourchange,sentiment
128.01,-0.4979,0.8901,126.01,127.9,IBM,128.39,51363,0,6.57
98.95,4.6714,0.9312,98.73,102.4,AMZN,102.56,588377,3,5.01
9.27,1.4069,0.3162,9.201,9.37,CVNA,9.76,23333,-1,0.35
5.91,0.6873,0.5437,5.825,5.86,SOFI,5.98,91912,0,1.34
283.59,2.2399,0.602,283.17,289.84,MSFT,289.9,443350,6,0.76
128.46,0.3813,0.7779,126.84,128.99,JPM,129.035,82707,18,0.73
472.0,0.294,0.3826,469.78,474.16,NOC,476.065,8038,1,-8.57
31.82,0.3435,0.474,31.65,32.13,INTC,32.4252,131232,1,4.5
105.84,2.6663,0.5101,105.9,107.43,GOOGL,107.49,160358,-6,-0.58
126.58,1.7046,0.4634,126.58,128.28,EA,128.72,20703,0,6.67
182.955,2.9689,0.6485,180.94,185.9,TSLA,186.5,891320,0,0.9
215.73,2.9673,0.6771,215.82,220.35,META,221.15,512793,2,3.03
90.1,1.174,0.7734,90.0,90.49,SONY,90.83,2088,0,0.0
92.79,-0.2599,0.6105,91.83,92.09,AMD,93.16,456761,-1,1.56
200.01,6.9683,0.9909,198.52,209.69,ENPH,211.55,37419,3,-4.18
5.48,2.2472,0.5092,5.39,5.46,AMC,5.66,413218,1,-3.14
161.63,3.4104,0.8567,161.44,165.56,AAPL,165.8,877749,11,3.98
267.34,-0.1208,0.6485,263.29,264.63,NVDA,268.869,421506,12,-2.84
