percentchange,low,open,price,relvolume,symbol,high,watchers,hourchange,sentiment
0.3813,126.84,128.46,128.99,0.7779,JPM,129.035,82712,5,2.71
0.294,469.78,472.0,474.16,0.3826,NOC,476.065,8038,0,-13.33
0.6873,5.825,5.91,5.86,0.5437,SOFI,5.98,91911,-1,1.85
0.3435,31.65,31.82,32.13,0.474,INTC,32.4252,131232,0,4.5
2.6663,105.9,105.84,107.43,0.5101,GOOGL,107.49,160358,0,-0.74
1.174,90.0,90.1,90.49,0.7734,SONY,90.83,2088,0,0.0
1.7046,126.58,126.58,128.28,0.4634,EA,128.72,20703,0,6.67
2.9673,215.82,215.73,220.35,0.6771,META,221.15,512793,0,2.93
2.9689,180.94,182.955,185.9,0.6485,TSLA,186.5,891314,-6,0.99
6.9683,198.52,200.01,209.69,0.9909,ENPH,211.55,37423,4,-4.7
-0.2599,91.83,92.79,92.09,0.6105,AMD,93.16,456760,-1,0.8
-0.1208,263.29,267.34,264.63,0.6485,NVDA,268.869,421512,6,-2.79
2.2472,5.39,5.48,5.46,0.5092,AMC,5.66,413216,-2,-3.23
3.4104,161.44,161.63,165.56,0.8567,AAPL,165.8,877743,-6,4.18
-0.4979,126.01,128.01,127.9,0.8901,IBM,128.39,51364,1,5.98
4.6714,98.73,98.95,102.4,0.9312,AMZN,102.56,588377,0,5.12
2.2399,283.17,283.59,289.84,0.602,MSFT,289.9,443350,0,0.83
1.4069,9.201,9.27,9.37,0.3162,CVNA,9.76,23338,5,0.6
