low,price,relvolume,symbol,high,open,percentchange,watchers,hourchange,sentiment
105.9,107.43,0.5101,GOOGL,107.49,105.84,2.6663,160358,0,-0.74
90.0,90.49,0.7734,SONY,90.83,90.1,1.174,2088,0,0.0
126.58,128.28,0.4634,EA,128.72,126.58,1.7046,20703,0,6.67
180.94,185.9,0.6485,TSLA,186.5,182.955,2.9689,891314,-6,0.99
215.82,220.35,0.6771,META,221.15,215.73,2.9673,512793,0,2.93
198.52,209.69,0.9909,ENPH,211.55,200.01,6.9683,37423,4,-4.7
91.83,92.09,0.6105,AMD,93.16,92.79,-0.2599,456760,-1,0.8
263.29,264.63,0.6485,NVDA,268.869,267.34,-0.1208,421512,6,-2.79
5.39,5.46,0.5092,AMC,5.66,5.48,2.2472,413216,-2,-3.23
161.44,165.56,0.8567,AAPL,165.8,161.63,3.4104,877743,-6,4.18
126.01,127.9,0.8901,IBM,128.39,128.01,-0.4979,51364,1,5.98
98.73,102.4,0.9312,AMZN,102.56,98.95,4.6714,588377,0,5.12
283.17,289.84,0.602,MSFT,289.9,283.59,2.2399,443350,0,0.83
9.201,9.37,0.3162,CVNA,9.76,9.27,1.4069,23338,5,0.6
126.84,128.99,0.7779,JPM,129.035,128.46,0.3813,82712,5,2.71
469.78,474.16,0.3826,NOC,476.065,472.0,0.294,8038,0,-13.33
5.825,5.86,0.5437,SOFI,5.98,5.91,0.6873,91911,-1,1.85
31.65,32.13,0.474,INTC,32.4252,31.82,0.3435,131232,0,4.5
