open,low,relvolume,symbol,price,percentchange,high,watchers,hourchange,sentiment
105.84,105.9,0.5101,GOOGL,107.43,2.6663,107.49,160358,0,-1.99
126.58,126.58,0.4634,EA,128.28,1.7046,128.72,20703,0,6.67
215.73,215.82,0.6771,META,220.35,2.9673,221.15,512797,4,2.53
182.955,180.94,0.6485,TSLA,185.9,2.9689,186.5,891316,2,1.06
200.01,198.52,0.9909,ENPH,209.69,6.9683,211.55,37423,0,-4.82
92.79,91.83,0.6105,AMD,92.09,-0.2599,93.16,456763,3,1.01
267.34,263.29,0.6485,NVDA,264.63,-0.1208,268.869,421515,3,-2.68
5.48,5.39,0.5092,AMC,5.46,2.2472,5.66,413219,3,-3.19
161.63,161.44,0.8567,AAPL,165.56,3.4104,165.8,877752,9,4.25
128.01,126.01,0.8901,IBM,127.9,-0.4979,128.39,51365,1,6.94
98.95,98.73,0.9312,AMZN,102.4,4.6714,102.56,588378,1,4.69
283.59,283.17,0.602,MSFT,289.84,2.2399,289.9,443354,4,0.83
9.27,9.201,0.3162,CVNA,9.37,1.4069,9.76,23338,0,1.75
128.46,126.84,0.7779,JPM,128.99,0.3813,129.035,82724,12,5.21
472.0,469.78,0.3826,NOC,474.16,0.294,476.065,8038,0,-16.67
5.91,5.825,0.5437,SOFI,5.86,0.6873,5.98,91912,1,2.23
31.82,31.65,0.474,INTC,32.13,0.3435,32.4252,131233,1,4.48
90.1,90.0,0.7734,SONY,90.49,1.174,90.83,2088,0,0.0
