relvolume,high,open,price,low,percentchange,symbol,watchers,hourchange,sentiment
0.7779,129.035,128.46,128.99,126.84,0.3813,JPM,82731,7,5.81
0.3162,9.76,9.27,9.37,9.201,1.4069,CVNA,23339,1,1.75
0.3826,476.065,472.0,474.16,469.78,0.294,NOC,8039,1,-16.67
0.5437,5.98,5.91,5.86,5.825,0.6873,SOFI,91912,0,2.23
0.474,32.4252,31.82,32.13,31.65,0.3435,INTC,131232,-1,5.8
0.5101,107.49,105.84,107.43,105.9,2.6663,GOOGL,160362,4,-1.99
0.7734,90.83,90.1,90.49,90.0,1.174,SONY,2088,0,0.0
0.6485,186.5,182.955,185.9,180.94,2.9689,TSLA,891319,3,1.13
0.6771,221.15,215.73,220.35,215.82,2.9673,META,512800,3,2.1
0.9909,211.55,200.01,209.69,198.52,6.9683,ENPH,37425,2,-4.82
0.6105,93.16,92.79,92.09,91.83,-0.2599,AMD,456763,0,0.79
0.6485,268.869,267.34,264.63,263.29,-0.1208,NVDA,421515,0,-2.67
0.5092,5.66,5.48,5.46,5.39,2.2472,AMC,413222,3,-3.08
0.8567,165.8,161.63,165.56,161.44,3.4104,AAPL,877758,6,4.18
0.8901,128.39,128.01,127.9,126.01,-0.4979,IBM,51366,1,6.94
0.9312,102.56,98.95,102.4,98.73,4.6714,AMZN,588382,4,4.54
0.602,289.9,283.59,289.84,283.17,2.2399,MSFT,443355,1,1.18
0.4634,128.72,126.58,128.28,126.58,1.7046,EA,20702,-1,6.67
