relvolume,percentchange,price,symbol,open,high,low,watchers,hourchange,sentiment
0.4634,1.7046,128.28,EA,126.58,128.72,126.58,20702,-1,6.67
0.602,2.2399,289.84,MSFT,283.59,289.9,283.17,443355,1,1.18
0.7779,0.3813,128.99,JPM,128.46,129.035,126.84,82731,7,5.81
0.3826,0.294,474.16,NOC,472.0,476.065,469.78,8039,1,-16.67
0.3162,1.4069,9.37,CVNA,9.27,9.76,9.201,23339,1,1.75
0.5437,0.6873,5.86,SOFI,5.91,5.98,5.825,91912,0,2.23
0.474,0.3435,32.13,INTC,31.82,32.4252,31.65,131232,-1,5.8
0.5101,2.6663,107.43,GOOGL,105.84,107.49,105.9,160362,4,-1.99
0.7734,1.174,90.49,SONY,90.1,90.83,90.0,2088,0,0.0
0.6485,2.9689,185.9,TSLA,182.955,186.5,180.94,891319,3,1.13
0.6771,2.9673,220.35,META,215.73,221.15,215.82,512800,3,2.1
0.6105,-0.2599,92.09,AMD,92.79,93.16,91.83,456763,0,0.79
0.9909,6.9683,209.69,ENPH,200.01,211.55,198.52,37425,2,-4.82
0.6485,-0.1208,264.63,NVDA,267.34,268.869,263.29,421515,0,-2.67
0.5092,2.2472,5.46,AMC,5.48,5.66,5.39,413222,3,-3.08
0.8567,3.4104,165.56,AAPL,161.63,165.8,161.44,877758,6,4.18
0.8901,-0.4979,127.9,IBM,128.01,128.39,126.01,51366,1,6.94
0.9312,4.6714,102.4,AMZN,98.95,102.56,98.73,588382,4,4.54
