symbol,open,percentchange,low,relvolume,price,high,watchers,hourchange,sentiment
EA,126.58,1.7046,126.58,0.4634,128.28,128.72,20702,0,6.67
MSFT,283.59,2.2399,283.17,0.602,289.84,289.9,443359,4,1.77
JPM,128.46,0.3813,126.84,0.7779,128.99,129.035,82728,-3,6.94
NOC,472.0,0.294,469.78,0.3826,474.16,476.065,8040,1,-16.67
CVNA,9.27,1.4069,9.201,0.3162,9.37,9.76,23339,0,2.02
SOFI,5.91,0.6873,5.825,0.5437,5.86,5.98,91914,2,1.7
INTC,31.82,0.3435,31.65,0.474,32.13,32.4252,131236,4,6.29
GOOGL,105.84,2.6663,105.9,0.5101,107.43,107.49,160363,1,-1.35
SONY,90.1,1.174,90.0,0.7734,90.49,90.83,2088,0,0.0
TSLA,182.955,2.9689,180.94,0.6485,185.9,186.5,891324,5,1.21
META,215.73,2.9673,215.82,0.6771,220.35,221.15,512808,8,2.53
AMD,92.79,-0.2599,91.83,0.6105,92.09,93.16,456769,6,0.89
ENPH,200.01,6.9683,198.52,0.9909,209.69,211.55,37427,2,-4.96
NVDA,267.34,-0.1208,263.29,0.6485,264.63,268.869,421518,3,-2.85
AMC,5.48,2.2472,5.39,0.5092,5.46,5.66,413225,3,-2.85
AAPL,161.63,3.4104,161.44,0.8567,165.56,165.8,877766,8,4.7
IBM,128.01,-0.4979,126.01,0.8901,127.9,128.39,51368,2,6.94
AMZN,98.95,4.6714,98.73,0.9312,102.4,102.56,588392,10,4.78
