relvolume,percentchange,price,low,symbol,open,high,watchers,hourchange,sentiment
0.2268,-0.8035,470.35,468.94,NOC,470.55,471.98,8041,0,8.57
0.4574,-1.3456,285.94,283.69,MSFT,287.0,288.48,443391,2,0.4
0.6272,0.8502,266.88,262.2,NVDA,265.04,268.83,421572,5,-3.35
0.5371,0.354,221.1301,217.56,META,217.88,222.11,512832,-3,-0.62
0.5664,-0.8918,207.82,204.67,ENPH,209.77,214.57,37424,-3,-7.15
0.4747,-0.3335,185.28,182.01,TSLA,183.95,186.28,891409,8,-0.26
0.5215,-0.3624,164.96,163.83,AAPL,164.59,166.32,877847,4,2.09
2.6493,7.0548,138.09,134.95,JPM,135.15,139.12,82940,9,11.6
0.4558,-0.086,127.79,127.31,IBM,128.46,129.84,51369,-1,1.26
0.288,-0.4171,127.745,127.45,EA,127.98,128.53,20706,0,16.67
0.4118,1.0705,108.58,106.88,GOOGL,106.89,108.595,160401,7,-1.82
0.5679,0.3145,102.722,101.11,AMZN,102.07,103.2013,588466,4,1.05
0.4907,-0.4941,91.635,90.5,AMD,91.82,92.97,456768,-1,-0.28
0.5363,0.4532,90.9001,90.412,SONY,90.85,91.44,2088,0,0.0
0.325,-0.747,31.89,31.69,INTC,32.0,32.235,131237,2,-0.65
0.2864,-3.1483,9.075,8.68,CVNA,9.47,9.798,23332,-1,-0.93
0.5405,0.0853,5.865,5.77,SOFI,5.99,6.03,91914,0,0.07
0.7112,-8.5165,4.995,4.9,AMC,5.74,5.75,413226,0,-0.76
