open,symbol,percentchange,price,relvolume,high,low,watchers,hourchange,sentiment
102.07,AMZN,0.166,102.57,0.7199,103.2013,101.11,588466,0,-0.05
106.89,GOOGL,1.359,108.89,0.566,108.935,106.88,160403,2,-1.79
135.15,JPM,7.5972,138.7896,3.0765,139.12,134.95,82923,-17,9.41
164.59,AAPL,-0.1903,165.245,0.6406,166.32,163.83,877851,4,1.19
127.98,EA,-0.3118,127.88,0.4028,128.53,127.45,20705,-1,16.67
90.85,SONY,0.4034,90.855,0.8867,91.44,90.412,2088,0,0.0
209.77,ENPH,-0.3338,208.99,0.6939,214.57,204.67,37423,-1,-5.1
183.95,TSLA,-0.468,185.03,0.5598,186.28,182.01,891413,4,-0.45
32.0,INTC,-0.6536,31.92,0.4201,32.235,31.69,131239,2,-2.0
5.99,SOFI,1.0239,5.92,0.6398,6.03,5.77,91913,-1,-0.28
5.74,AMC,-6.2271,5.12,0.9005,5.75,4.9,413220,-6,-0.28
91.82,AMD,-0.3801,91.74,0.5911,92.97,90.5,456770,2,-0.52
287.0,MSFT,-1.2593,286.19,0.5743,288.48,283.69,443392,1,-0.01
265.04,NVDA,1.1223,267.6,0.7461,268.83,262.2,421584,12,-3.3
470.55,NOC,-0.2868,472.8,0.3372,473.09,468.94,8041,0,8.57
217.88,META,0.5491,221.56,0.6378,222.11,217.56,512835,3,-0.44
128.46,IBM,0.2189,128.18,0.6373,129.84,127.31,51369,0,1.0
9.47,CVNA,-4.1622,8.98,0.3345,9.798,8.68,23330,-2,-1.34
