high,low,open,relvolume,price,percentchange,symbol,watchers,hourchange,sentiment
32.235,31.69,32.0,0.4201,31.89,-0.747,INTC,131239,0,-1.9
6.03,5.77,5.99,0.6398,5.92,1.0239,SOFI,91903,-10,-0.49
5.76,4.9,5.74,0.9005,5.12,-6.2271,AMC,413217,-3,-0.28
92.97,90.5,91.82,0.5911,91.75,-0.3692,AMD,456765,-5,-0.81
268.83,262.2,265.04,0.7461,267.58,1.1148,NVDA,421586,2,-2.12
288.48,283.69,287.0,0.5743,286.14,-1.2766,MSFT,443394,2,-0.1
473.09,468.94,470.55,0.3372,472.57,-0.3353,NOC,8041,0,8.57
9.798,8.68,9.47,0.3345,8.97,-4.2689,CVNA,23330,0,-1.34
222.11,217.56,217.88,0.6378,221.49,0.5174,META,512836,1,-0.2
129.84,127.31,128.46,0.6373,128.14,0.1876,IBM,51370,1,-3.15
103.2013,101.11,102.07,0.7199,102.51,0.1074,AMZN,588467,1,0.2
139.12,134.95,135.15,3.0765,138.73,7.551,JPM,82922,-1,7.84
166.32,163.83,164.59,0.6406,165.21,-0.2114,AAPL,877848,-3,1.05
108.935,106.88,106.89,0.566,108.87,1.3404,GOOGL,160403,0,-2.01
128.53,127.45,127.98,0.4028,127.87,-0.3196,EA,20705,0,10.0
91.44,90.412,90.85,0.8867,90.86,0.4089,SONY,2088,0,0.0
214.57,204.67,209.77,0.6939,208.9,-0.3767,ENPH,37423,0,-3.47
186.28,182.01,183.95,0.5598,185.0,-0.4841,TSLA,891423,10,-0.09
