relvolume,high,percentchange,low,open,symbol,price,watchers,hourchange,sentiment
0.4028,128.53,-0.3196,127.45,127.98,EA,127.87,20705,0,10.0
0.8867,91.46,0.4089,90.412,90.85,SONY,90.86,2088,0,0.0
0.6939,214.57,-0.3767,204.67,209.77,ENPH,208.9,37423,0,-3.47
0.5598,186.28,-0.4841,182.01,183.95,TSLA,185.0,891427,4,0.27
0.4201,32.235,-0.747,31.69,32.0,INTC,31.89,131240,1,-2.29
0.6398,6.03,1.0239,5.77,5.99,SOFI,5.92,91899,-4,-0.49
0.9005,5.76,-6.2271,4.9,5.74,AMC,5.12,413214,-3,-0.31
0.5911,92.97,-0.3692,90.5,91.82,AMD,91.75,456768,3,-0.01
0.7461,268.83,1.1148,262.2,265.04,NVDA,267.58,421590,4,-1.09
0.5743,288.48,-1.2766,283.69,287.0,MSFT,286.14,443396,2,-0.68
0.3372,473.09,-0.3353,468.765,470.55,NOC,472.57,8041,0,13.33
0.3345,9.8,-4.2689,8.68,9.47,CVNA,8.97,23328,-2,-1.25
0.6373,129.84,0.1876,127.31,128.46,IBM,128.14,51370,0,-6.94
0.6378,222.11,0.5174,217.56,217.88,META,221.49,512850,14,0.74
0.7199,103.2013,0.1074,101.11,102.07,AMZN,102.51,588468,1,0.4
3.0765,139.12,7.551,134.9001,135.15,JPM,138.73,82930,8,6.88
0.566,108.935,1.3404,106.88,106.89,GOOGL,108.87,160404,1,-2.01
0.6406,166.32,-0.2114,163.83,164.59,AAPL,165.21,877852,4,1.29
