percentchange,symbol,low,open,high,relvolume,price,watchers,hourchange,sentiment
0.1876,IBM,127.31,128.46,129.84,0.6373,128.14,51370,0,-6.94
0.1074,AMZN,101.11,102.07,103.2013,0.7199,102.51,588470,2,0.81
-0.2114,AAPL,163.83,164.59,166.32,0.6406,165.21,877855,3,1.39
7.551,JPM,134.9001,135.15,139.12,3.0765,138.73,82932,2,6.75
1.3404,GOOGL,106.88,106.89,108.935,0.566,108.87,160400,-4,-1.51
-0.3767,ENPH,204.67,209.77,214.57,0.6939,208.9,37422,-1,-3.12
-0.3196,EA,127.45,127.98,128.53,0.4028,127.87,20705,0,10.0
-0.4841,TSLA,182.01,183.95,186.28,0.5598,185.0,891426,-1,0.26
0.4089,SONY,90.412,90.85,91.46,0.8867,90.86,2088,0,0.0
-0.747,INTC,31.69,32.0,32.235,0.4201,31.89,131240,0,-1.8
1.0239,SOFI,5.77,5.99,6.03,0.6398,5.92,91899,0,-0.69
-6.2271,AMC,4.9,5.74,5.75,0.9005,5.12,413215,1,-0.34
-0.3692,AMD,90.5,91.82,92.97,0.5911,91.75,456770,2,-0.1
-0.3353,NOC,468.765,470.55,473.09,0.3372,472.57,8040,-1,13.33
-1.2766,MSFT,283.69,287.0,288.48,0.5743,286.14,443399,3,-0.53
1.1148,NVDA,262.2,265.04,268.83,0.7461,267.58,421595,5,-1.17
-4.2689,CVNA,8.68,9.47,9.798,0.3345,8.97,23324,-4,-2.06
0.5174,META,217.56,217.88,222.11,0.6378,221.49,512854,4,0.74
