low,high,symbol,relvolume,percentchange,price,open,watchers,hourchange,sentiment
204.67,214.57,ENPH,0.6939,-0.3767,208.9,209.77,37422,0,-3.37
127.45,128.53,EA,0.4028,-0.3196,127.87,127.98,20705,0,0.0
182.01,186.28,TSLA,0.5598,-0.4841,185.0,183.95,891426,0,0.32
90.412,91.46,SONY,0.8867,0.4089,90.86,90.85,2088,0,0.0
31.69,32.235,INTC,0.4201,-0.747,31.89,32.0,131241,1,-1.8
5.77,6.03,SOFI,0.6398,1.0239,5.92,5.99,91899,0,-0.87
4.9,5.75,AMC,0.9005,-6.2271,5.12,5.74,413214,-1,-0.51
90.5,92.97,AMD,0.5911,-0.3692,91.75,91.82,456769,-1,0.2
283.69,288.48,MSFT,0.5743,-1.2766,286.14,287.0,443403,4,-0.46
468.765,473.09,NOC,0.3372,-0.3353,472.57,470.55,8040,0,13.33
262.2,268.83,NVDA,0.7461,1.1148,267.58,265.04,421597,2,-0.9
8.68,9.798,CVNA,0.3345,-4.2689,8.97,9.47,23325,1,-2.15
101.11,103.2013,AMZN,0.7199,0.1074,102.51,102.07,588473,3,0.91
127.31,129.84,IBM,0.6373,0.1876,128.14,128.46,51370,0,-6.55
217.56,222.11,META,0.6378,0.5174,221.49,217.88,512854,0,1.19
134.9001,139.12,JPM,3.0765,7.551,138.73,135.15,82936,4,5.98
163.83,166.32,AAPL,0.6406,-0.2114,165.21,164.59,877855,0,1.6
106.88,108.935,GOOGL,0.566,1.3404,108.87,106.89,160402,2,-0.49
