relvolume,percentchange,open,high,low,price,symbol,watchers,hourchange,sentiment
0.8867,0.4089,90.85,91.46,90.412,90.86,SONY,2088,0,0.0
0.5598,-0.4841,183.95,186.28,182.01,185.0,TSLA,891426,0,0.32
0.4201,-0.747,32.0,32.235,31.69,31.89,INTC,131241,1,-1.8
0.6398,1.0239,5.99,6.03,5.77,5.92,SOFI,91899,0,-0.87
0.9005,-6.2271,5.74,5.75,4.9,5.12,AMC,413214,-1,-0.51
0.5911,-0.3692,91.82,92.97,90.5,91.75,AMD,456769,-1,0.2
0.5743,-1.2766,287.0,288.48,283.69,286.14,MSFT,443403,4,-0.46
0.7461,1.1148,265.04,268.83,262.2,267.58,NVDA,421597,2,-0.9
0.3372,-0.3353,470.55,473.09,468.765,472.57,NOC,8040,0,13.33
0.3345,-4.2689,9.47,9.798,8.68,8.97,CVNA,23325,1,-2.15
0.6373,0.1876,128.46,129.84,127.31,128.14,IBM,51370,0,-6.55
0.7199,0.1074,102.07,103.2013,101.11,102.51,AMZN,588473,3,0.91
0.6378,0.5174,217.88,222.11,217.56,221.49,META,512854,0,1.19
0.566,1.3404,106.89,108.935,106.88,108.87,GOOGL,160402,2,-0.49
3.0765,7.551,135.15,139.12,134.9001,138.73,JPM,82936,4,5.98
0.6406,-0.2114,164.59,166.32,163.83,165.21,AAPL,877855,0,1.6
0.6939,-0.3767,209.77,214.57,204.67,208.9,ENPH,37422,0,-3.37
0.4028,-0.3196,127.98,128.53,127.45,127.87,EA,20705,0,0.0
