percentchange,symbol,price,low,relvolume,open,high,watchers,hourchange,sentiment
-0.747,INTC,31.89,31.69,0.4201,32.0,32.235,131241,1,-1.8
1.0239,SOFI,5.92,5.77,0.6398,5.99,6.03,91899,0,-0.87
-6.2271,AMC,5.12,4.9,0.9005,5.74,5.75,413214,-1,-0.51
-1.2766,MSFT,286.14,283.69,0.5743,287.0,288.48,443403,4,-0.46
1.1148,NVDA,267.58,262.2,0.7461,265.04,268.83,421597,2,-0.9
-0.3692,AMD,91.75,90.5,0.5911,91.82,92.97,456769,-1,0.2
-4.2689,CVNA,8.97,8.68,0.3345,9.47,9.798,23325,1,-2.15
-0.3353,NOC,472.57,468.765,0.3372,470.55,473.09,8040,0,13.33
0.1074,AMZN,102.51,101.11,0.7199,102.07,103.2013,588473,3,0.91
0.5174,META,221.49,217.56,0.6378,217.88,222.11,512854,0,1.19
0.1876,IBM,128.14,127.31,0.6373,128.46,129.84,51370,0,-6.55
1.3404,GOOGL,108.87,106.88,0.566,106.89,108.935,160402,2,-0.49
7.551,JPM,138.73,134.9001,3.0765,135.15,139.12,82936,4,5.98
-0.2114,AAPL,165.21,163.83,0.6406,164.59,166.32,877855,0,1.6
-0.3767,ENPH,208.9,204.67,0.6939,209.77,214.57,37422,0,-3.37
-0.3196,EA,127.87,127.45,0.4028,127.98,128.53,20705,0,0.0
0.4089,SONY,90.86,90.412,0.8867,90.85,91.46,2088,0,0.0
-0.4841,TSLA,185.0,182.01,0.5598,183.95,186.28,891426,0,0.32
