high,open,low,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
214.57,209.77,204.67,0.6939,ENPH,-0.3767,208.9,37426,4,-3.37
128.53,127.98,127.45,0.4028,EA,-0.3196,127.87,20705,0,0.0
91.46,90.85,90.412,0.8867,SONY,0.4089,90.86,2088,0,0.0
186.28,183.95,182.01,0.5598,TSLA,-0.4841,185.0,891435,9,0.43
32.235,32.0,31.69,0.4201,INTC,-0.747,31.89,131241,0,-1.3
5.75,5.74,4.9,0.9005,AMC,-6.2271,5.12,413215,1,-0.66
6.03,5.99,5.77,0.6398,SOFI,1.0239,5.92,91900,1,-0.83
473.09,470.55,468.765,0.3372,NOC,-0.3353,472.57,8040,0,0.0
268.83,265.04,262.2,0.7461,NVDA,1.1148,267.58,421602,5,-0.7
288.48,287.0,283.69,0.5743,MSFT,-1.2766,286.14,443403,0,-0.17
9.798,9.47,8.68,0.3345,CVNA,-4.2689,8.97,23325,0,-2.58
92.97,91.82,90.5,0.5911,AMD,-0.3692,91.75,456769,0,0.36
103.2013,102.07,101.11,0.7199,AMZN,0.1074,102.51,588478,5,0.97
222.11,217.88,217.56,0.6378,META,0.5174,221.49,512854,0,1.21
129.84,128.46,127.31,0.6373,IBM,0.1876,128.14,51370,0,-6.55
108.935,106.89,106.88,0.566,GOOGL,1.3404,108.87,160402,0,-0.3
166.32,164.59,163.83,0.6406,AAPL,-0.2114,165.21,877859,4,1.16
139.12,135.15,134.9001,3.0765,JPM,7.551,138.73,82936,0,4.64
