high,price,low,open,percentchange,relvolume,symbol,watchers,hourchange,sentiment
214.57,208.9,204.67,209.77,-0.3767,0.6939,ENPH,37426,4,-3.37
128.53,127.87,127.45,127.98,-0.3196,0.4028,EA,20705,0,0.0
91.46,90.86,90.412,90.85,0.4089,0.8867,SONY,2088,0,0.0
186.28,185.0,182.01,183.95,-0.4841,0.5598,TSLA,891435,9,0.43
32.235,31.89,31.69,32.0,-0.747,0.4201,INTC,131241,0,-1.3
5.75,5.12,4.9,5.74,-6.2271,0.9005,AMC,413215,1,-0.66
6.03,5.92,5.77,5.99,1.0239,0.6398,SOFI,91900,1,-0.83
473.09,472.57,468.765,470.55,-0.3353,0.3372,NOC,8040,0,0.0
268.83,267.58,262.2,265.04,1.1148,0.7461,NVDA,421602,5,-0.7
288.48,286.14,283.69,287.0,-1.2766,0.5743,MSFT,443403,0,-0.17
9.798,8.97,8.68,9.47,-4.2689,0.3345,CVNA,23325,0,-2.58
92.97,91.75,90.5,91.82,-0.3692,0.5911,AMD,456769,0,0.36
103.2013,102.51,101.11,102.07,0.1074,0.7199,AMZN,588478,5,0.97
222.11,221.49,217.56,217.88,0.5174,0.6378,META,512854,0,1.21
129.84,128.14,127.31,128.46,0.1876,0.6373,IBM,51370,0,-6.55
108.935,108.87,106.88,106.89,1.3404,0.566,GOOGL,160402,0,-0.3
166.32,165.21,163.83,164.59,-0.2114,0.6406,AAPL,877859,4,1.16
139.12,138.73,134.9001,135.15,7.551,3.0765,JPM,82936,0,4.64
