percentchange,open,high,relvolume,price,low,symbol,watchers,hourchange,sentiment
-0.3767,209.77,214.57,0.6939,208.9,204.67,ENPH,37428,2,-3.02
-0.3196,127.98,128.53,0.4028,127.87,127.45,EA,20705,0,0.0
0.4089,90.85,91.46,0.8867,90.86,90.412,SONY,2088,0,0.0
-0.4841,183.95,186.28,0.5598,185.0,182.01,TSLA,891431,-4,0.43
-0.747,32.0,32.235,0.4201,31.89,31.69,INTC,131242,1,-1.3
-6.2271,5.74,5.75,0.9005,5.12,4.9,AMC,413215,0,-0.68
1.0239,5.99,6.03,0.6398,5.92,5.77,SOFI,91903,3,-1.02
-0.3353,470.55,473.09,0.3372,472.57,468.765,NOC,8040,0,0.0
1.1148,265.04,268.83,0.7461,267.58,262.2,NVDA,421598,-4,-0.7
-1.2766,287.0,288.48,0.5743,286.14,283.69,MSFT,443406,3,-0.17
-4.2689,9.47,9.798,0.3345,8.97,8.68,CVNA,23324,-1,-2.42
-0.3692,91.82,92.97,0.5911,91.75,90.5,AMD,456773,4,0.49
0.1074,102.07,103.2013,0.7199,102.51,101.11,AMZN,588482,4,1.49
0.5174,217.88,222.11,0.6378,221.49,217.56,META,512857,3,1.17
0.1876,128.46,129.84,0.6373,128.14,127.31,IBM,51370,0,-6.18
1.3404,106.89,108.935,0.566,108.87,106.88,GOOGL,160403,1,-0.64
-0.2114,164.59,166.32,0.6406,165.21,163.83,AAPL,877861,2,1.43
7.551,135.15,139.12,3.0765,138.73,134.9001,JPM,82946,10,5.37
