high,open,relvolume,percentchange,low,symbol,price,watchers,hourchange,sentiment
214.57,209.77,0.6939,-0.3767,204.67,ENPH,208.9,37428,2,-3.02
128.53,127.98,0.4028,-0.3196,127.45,EA,127.87,20705,0,0.0
91.46,90.85,0.8867,0.4089,90.412,SONY,90.86,2088,0,0.0
186.28,183.95,0.5598,-0.4841,182.01,TSLA,185.0,891431,-4,0.43
32.235,32.0,0.4201,-0.747,31.69,INTC,31.89,131242,1,-1.3
5.75,5.74,0.9005,-6.2271,4.9,AMC,5.12,413215,0,-0.68
6.03,5.99,0.6398,1.0239,5.77,SOFI,5.92,91903,3,-1.02
473.09,470.55,0.3372,-0.3353,468.765,NOC,472.57,8040,0,0.0
268.83,265.04,0.7461,1.1148,262.2,NVDA,267.58,421598,-4,-0.7
288.48,287.0,0.5743,-1.2766,283.69,MSFT,286.14,443406,3,-0.17
9.798,9.47,0.3345,-4.2689,8.68,CVNA,8.97,23324,-1,-2.42
92.97,91.82,0.5911,-0.3692,90.5,AMD,91.75,456773,4,0.49
103.2013,102.07,0.7199,0.1074,101.11,AMZN,102.51,588482,4,1.49
222.11,217.88,0.6378,0.5174,217.56,META,221.49,512857,3,1.17
129.84,128.46,0.6373,0.1876,127.31,IBM,128.14,51370,0,-6.18
108.935,106.89,0.566,1.3404,106.88,GOOGL,108.87,160403,1,-0.64
166.32,164.59,0.6406,-0.2114,163.83,AAPL,165.21,877861,2,1.43
139.12,135.15,3.0765,7.551,134.9001,JPM,138.73,82946,10,5.37
