symbol,high,open,price,low,relvolume,percentchange,watchers,hourchange,sentiment
ENPH,214.57,209.77,208.9,204.67,0.6939,-0.3767,37428,0,-2.73
EA,128.53,127.98,127.87,127.45,0.4028,-0.3196,20705,0,0.0
SONY,91.46,90.85,90.86,90.412,0.8867,0.4089,2088,0,0.0
TSLA,186.28,183.95,185.0,182.01,0.5598,-0.4841,891430,-1,0.42
INTC,32.235,32.0,31.89,31.69,0.4201,-0.747,131242,0,-0.9
AMC,5.75,5.74,5.12,4.9,0.9005,-6.2271,413215,0,-0.75
SOFI,6.03,5.99,5.92,5.77,0.6398,1.0239,91909,6,-1.13
NOC,473.09,470.55,472.57,468.765,0.3372,-0.3353,8040,0,0.0
NVDA,268.83,265.04,267.58,262.2,0.7461,1.1148,421598,0,-0.66
MSFT,288.48,287.0,286.14,283.69,0.5743,-1.2766,443406,0,-0.03
CVNA,9.798,9.47,8.97,8.68,0.3345,-4.2689,23324,0,-2.38
AMD,92.97,91.82,91.75,90.5,0.5911,-0.3692,456777,4,0.42
AMZN,103.2013,102.07,102.51,101.11,0.7199,0.1074,588482,0,1.69
META,222.11,217.88,221.49,217.56,0.6378,0.5174,512857,0,1.09
IBM,129.84,128.46,128.14,127.31,0.6373,0.1876,51371,1,-6.18
GOOGL,108.935,106.89,108.87,106.88,0.566,1.3404,160402,-1,0.94
AAPL,166.32,164.59,165.21,163.83,0.6406,-0.2114,877861,0,1.52
JPM,139.12,135.15,138.73,134.9001,3.0765,7.551,82946,0,5.63
