percentchange,relvolume,low,symbol,price,high,open,watchers,hourchange,sentiment
-0.3767,0.6939,204.67,ENPH,208.9,214.57,209.77,37428,0,-2.73
-0.3196,0.4028,127.45,EA,127.87,128.53,127.98,20705,0,0.0
0.4089,0.8867,90.412,SONY,90.86,91.46,90.85,2088,0,0.0
-0.4841,0.5598,182.01,TSLA,185.0,186.28,183.95,891430,-1,0.42
-0.747,0.4201,31.69,INTC,31.89,32.235,32.0,131242,0,-0.9
-6.2271,0.9005,4.9,AMC,5.12,5.75,5.74,413215,0,-0.75
1.0239,0.6398,5.77,SOFI,5.92,6.03,5.99,91909,6,-1.13
-0.3353,0.3372,468.765,NOC,472.57,473.09,470.55,8040,0,0.0
1.1148,0.7461,262.2,NVDA,267.58,268.83,265.04,421598,0,-0.66
-1.2766,0.5743,283.69,MSFT,286.14,288.48,287.0,443406,0,-0.03
-4.2689,0.3345,8.68,CVNA,8.97,9.798,9.47,23324,0,-2.38
-0.3692,0.5911,90.5,AMD,91.75,92.97,91.82,456777,4,0.42
0.1074,0.7199,101.11,AMZN,102.51,103.2013,102.07,588482,0,1.69
0.5174,0.6378,217.56,META,221.49,222.11,217.88,512857,0,1.09
0.1876,0.6373,127.31,IBM,128.14,129.84,128.46,51371,1,-6.18
1.3404,0.566,106.88,GOOGL,108.87,108.935,106.89,160402,-1,0.94
-0.2114,0.6406,163.83,AAPL,165.21,166.32,164.59,877861,0,1.52
7.551,3.0765,134.9001,JPM,138.73,139.12,135.15,82946,0,5.63
