symbol,percentchange,price,high,open,relvolume,low,watchers,hourchange,sentiment
NOC,-0.0825,472.18,477.68,472.99,0.2738,471.84,8040,0,4.76
MSFT,0.1468,286.56,291.58,289.93,0.4504,286.2,443538,-1,1.62
NVDA,-0.6315,265.8901,269.225,265.655,0.4186,264.36,421717,2,-0.43
ENPH,6.4457,222.365,229.23,215.0,1.2197,214.7801,37460,0,4.45
META,-1.3183,218.57,220.979,219.79,0.3235,217.13,512896,-6,0.21
TSLA,-0.6191,183.8547,189.69,186.32,0.5115,182.7,891620,11,0.69
AAPL,-0.5084,164.37,165.39,165.09,0.3847,164.03,877988,10,0.81
JPM,0.1586,138.95,140.06,139.95,0.7213,137.66,82966,-3,0.71
EA,0.0313,127.91,127.98,127.37,0.267,127.14,20706,0,-10.0
IBM,-0.8376,127.0667,128.72,128.3,0.3078,127.0382,51377,-3,-3.45
GOOGL,-3.0587,105.54,106.0,104.658,0.6616,104.52,160503,4,-9.99
AMZN,-0.5655,101.9303,103.73,103.16,0.4049,101.59,588596,-3,-1.45
SONY,-0.044,90.82,91.01,90.55,0.5886,90.35,2088,0,0.0
AMD,-3.0463,88.955,90.69,90.23,0.5385,88.3,456833,4,-0.9
INTC,-0.1411,31.845,32.64,31.95,0.3481,31.77,131264,-1,4.32
CVNA,-2.6901,8.7287,9.2192,8.91,0.185,8.725,23316,3,-0.75
SOFI,-0.7601,5.875,5.96,5.89,0.4994,5.81,91917,-1,0.13
AMC,1.6602,5.205,5.3,5.24,0.2667,5.1301,413211,-3,-0.89
