low,high,percentchange,symbol,relvolume,price,open,watchers,hourchange,sentiment
471.38,477.68,-0.0825,NOC,0.2883,472.18,472.99,8040,0,8.33
286.2,291.58,0.2027,MSFT,0.4665,286.72,289.93,443539,1,1.32
264.36,269.225,-0.6798,NVDA,0.434,265.7609,265.655,421723,6,-0.68
214.7801,229.23,6.57,ENPH,1.242,222.6247,215.0,37460,0,4.11
217.13,220.979,-1.4312,META,0.3343,218.32,219.79,512898,2,0.25
182.7,189.69,-0.5135,TSLA,0.5302,184.05,186.32,891624,4,0.75
164.03,165.39,-0.5569,AAPL,0.3993,164.29,165.09,877998,10,1.2
137.66,140.06,0.4541,JPM,0.7583,139.36,139.95,82968,2,0.7
127.14,127.98,0.0469,EA,0.2817,127.93,127.37,20706,0,-10.0
126.8,128.72,-0.9911,IBM,0.3332,126.87,128.3,51377,0,-3.45
104.52,106.0,-3.0587,GOOGL,0.6741,105.54,104.658,160510,7,-11.18
101.59,103.73,-0.478,AMZN,0.4218,102.02,103.16,588603,7,-1.74
90.35,91.01,-0.011,SONY,0.6112,90.85,90.55,2088,0,0.0
88.3,90.69,-3.1335,AMD,0.5573,88.875,90.23,456840,7,-1.93
31.77,32.64,-0.1411,INTC,0.3648,31.845,31.95,131266,2,3.52
8.68,9.2192,-2.8986,CVNA,0.1947,8.71,8.91,23313,-3,-0.75
5.81,5.96,-0.6757,SOFI,0.5132,5.88,5.89,91911,-6,0.1
5.1301,5.3,1.4336,AMC,0.275,5.1934,5.24,413210,-1,-1.04
