low,relvolume,symbol,high,price,percentchange,open,watchers,hourchange,sentiment
471.38,0.3003,NOC,477.68,473.22,0.1375,472.99,8040,0,8.33
286.2,0.4848,MSFT,291.58,287.15,0.353,289.93,443539,1,1.32
264.36,0.4478,NVDA,269.225,266.68,-0.3363,265.655,421723,6,-0.68
214.7801,1.3057,ENPH,229.23,222.74,6.6252,215.0,37460,0,4.11
217.13,0.3449,META,220.979,218.4,-1.3951,219.79,512898,2,0.25
182.7,0.549,TSLA,189.69,184.8581,-0.0767,186.32,891624,4,0.75
164.03,0.4141,AAPL,165.39,164.295,-0.5538,165.09,877998,10,1.2
137.66,0.7924,JPM,140.06,139.36,0.4541,139.95,82968,2,0.7
127.14,0.2966,EA,128.2,128.2,0.2581,127.37,20706,0,-10.0
126.8,0.3571,IBM,128.72,126.9507,-0.9281,128.3,51377,0,-3.45
104.52,0.6897,GOOGL,106.0,105.595,-3.0082,104.658,160510,7,-11.18
101.59,0.4332,AMZN,103.73,102.125,-0.3756,103.16,588603,7,-1.74
90.35,0.6411,SONY,91.03,91.0,0.1541,90.55,2088,0,0.0
88.3,0.5738,AMD,90.69,88.97,-3.03,90.23,456840,7,-1.93
31.77,0.3775,INTC,32.64,31.89,0.0,31.95,131266,2,3.52
8.68,0.2053,CVNA,9.2192,8.745,-2.5084,8.91,23313,-3,-0.75
5.81,0.5364,SOFI,5.96,5.91,-0.1689,5.89,91911,-6,0.1
5.1301,0.2889,AMC,5.3,5.165,0.8789,5.24,413210,-1,-1.04
