percentchange,relvolume,high,open,low,symbol,price,watchers,hourchange,sentiment
0.2814,0.3301,477.68,472.99,471.38,NOC,473.9,8040,0,8.33
0.6465,0.5438,291.58,289.93,286.2,MSFT,287.99,443539,0,1.84
0.5456,0.5179,269.225,265.655,264.36,NVDA,269.04,421729,6,-1.29
7.8602,1.509,229.23,215.0,214.7801,ENPH,225.32,37465,5,3.35
-1.0068,0.3924,220.979,219.79,217.13,META,219.26,512902,4,0.56
0.8649,0.6222,189.69,186.32,182.7,TSLA,186.6,891638,14,0.61
-0.0091,0.4724,165.39,165.09,164.03,AAPL,165.195,878005,7,1.79
0.6487,0.8717,140.06,139.95,137.66,JPM,139.63,82968,0,0.57
0.2424,0.3466,128.42,127.37,127.14,EA,128.18,20706,0,-10.0
-0.5034,0.4097,128.72,128.3,126.8,IBM,127.495,51377,0,-3.45
-2.8153,0.7406,106.0,104.658,104.52,GOOGL,105.805,160517,7,-11.56
0.0,0.4722,103.73,103.16,101.59,AMZN,102.51,588603,0,-1.11
0.3467,0.7514,91.23,90.55,90.35,SONY,91.175,2088,0,0.0
-2.0942,0.6469,90.69,90.23,88.3,AMD,89.8286,456845,5,-1.85
0.831,0.4264,32.64,31.95,31.77,INTC,32.155,131268,2,3.07
0.4459,0.238,9.2192,8.91,8.68,CVNA,9.01,23313,0,-1.16
0.5912,0.5947,5.96,5.89,5.81,SOFI,5.955,91914,3,0.0
1.0742,0.3194,5.3,5.24,5.1301,AMC,5.175,413208,-2,-1.23
