price,high,symbol,low,percentchange,relvolume,open,watchers,hourchange,sentiment
105.94,106.155,GOOGL,104.52,-2.6913,0.816,104.658,160517,7,-11.56
186.945,189.69,TSLA,182.7,1.0514,0.6825,186.32,891638,14,0.61
127.79,128.72,IBM,126.8,-0.2731,0.5124,128.3,51377,0,-3.45
474.79,477.68,NOC,471.38,0.4698,0.4391,472.99,8040,0,8.33
288.7,291.58,MSFT,286.2,0.8947,0.6118,289.93,443539,0,1.84
102.77,103.73,AMZN,101.59,0.2536,0.5299,103.16,588603,0,-1.11
91.141,91.23,SONY,90.35,0.3093,0.9083,90.55,2088,0,0.0
32.14,32.64,INTC,31.77,0.7839,0.5168,31.95,131268,2,3.07
225.0,229.23,ENPH,214.7801,7.707,1.7249,215.0,37465,5,3.35
128.08,128.42,EA,127.14,0.1642,0.4493,127.37,20706,0,-10.0
139.8025,140.06,JPM,137.66,0.7731,1.0164,139.95,82968,0,0.57
269.98,270.0,NVDA,264.36,0.8969,0.5878,265.655,421729,6,-1.29
5.955,6.0,SOFI,5.81,0.5912,0.6655,5.89,91914,3,0.0
218.86,220.979,META,217.13,-1.1874,0.4402,219.79,512902,4,0.56
5.2,5.3,AMC,5.1301,1.5625,0.3666,5.24,413208,-2,-1.23
9.08,9.2192,CVNA,8.68,1.2263,0.273,8.91,23313,0,-1.16
165.2021,165.39,AAPL,164.03,-0.0048,0.5412,165.09,878005,7,1.79
89.875,90.69,AMD,88.3,-2.0436,0.7217,90.23,456845,5,-1.85
