symbol,open,percentchange,high,price,low,relvolume,watchers,hourchange,sentiment
NVDA,265.655,0.9119,270.06,270.02,264.36,0.5878,421728,-1,-1.66
SOFI,5.89,0.6757,6.0,5.96,5.81,0.6655,91912,-2,-0.12
JPM,139.95,0.7929,140.06,139.83,137.66,1.0164,82971,3,0.57
CVNA,8.91,1.0033,9.2192,9.06,8.68,0.273,23314,1,-1.38
AMD,90.23,-2.049,90.69,89.87,88.3,0.7217,456844,-1,-2.47
AMC,5.24,1.5625,5.3,5.2,5.13,0.3666,413208,0,-1.15
META,219.79,-1.1874,220.979,218.86,217.13,0.4402,512900,-2,0.22
AAPL,165.09,0.0121,165.39,165.23,164.03,0.5412,878002,-3,1.8
IBM,128.3,-0.2497,128.72,127.82,126.8,0.5124,51378,1,-3.45
GOOGL,104.658,-2.6637,106.155,105.97,104.52,0.816,160514,-3,-11.83
TSLA,186.32,1.1027,189.69,187.04,182.7,0.6825,891645,7,0.2
NOC,472.99,0.4698,477.68,474.79,471.38,0.4391,8041,1,8.33
SONY,90.55,0.3192,91.23,91.15,90.35,0.9083,2088,0,0.0
AMZN,103.16,0.2244,103.73,102.74,101.59,0.5299,588603,0,-0.62
INTC,31.95,0.7839,32.64,32.14,31.77,0.5168,131269,1,3.52
MSFT,289.93,0.9296,291.58,288.8,286.2,0.6118,443539,0,2.08
ENPH,215.0,7.6687,229.23,224.92,214.7801,1.7249,37467,2,3.39
EA,127.37,0.1642,128.42,128.08,127.14,0.4493,20707,1,-10.0
