symbol,open,high,relvolume,low,percentchange,price,watchers,hourchange,sentiment
AMZN,103.16,103.73,0.5299,101.59,0.2244,102.74,588608,5,-0.47
MSFT,289.93,291.58,0.6118,286.2,0.9296,288.8,443546,7,2.75
SONY,90.55,91.23,0.9083,90.35,0.3192,91.15,2088,0,0.0
EA,127.37,128.42,0.4493,127.14,0.1642,128.08,20707,0,-10.0
ENPH,215.0,229.23,1.7249,214.7801,7.6687,224.92,37473,6,3.43
NVDA,265.655,270.06,0.5878,264.36,0.9119,270.02,421731,3,-1.49
SOFI,5.89,6.0,0.6655,5.81,0.6757,5.96,91919,7,0.1
JPM,139.95,140.06,1.0164,137.66,0.7929,139.83,82973,2,0.7
AMD,90.23,90.69,0.7217,88.3,-2.049,89.87,456847,3,-2.66
CVNA,8.91,9.2192,0.273,8.68,1.0033,9.06,23310,-4,-1.46
AMC,5.24,5.3,0.3666,5.1301,1.5625,5.2,413206,-2,-1.09
AAPL,165.09,165.39,0.5412,164.03,0.0121,165.23,878000,-2,2.07
META,219.79,220.979,0.4402,217.13,-1.1874,218.86,512920,20,0.43
IBM,128.3,128.72,0.5124,126.8,-0.2497,127.82,51378,0,-4.47
TSLA,186.32,189.69,0.6825,182.7,1.1027,187.04,891654,9,0.22
GOOGL,104.658,106.155,0.816,104.52,-2.6637,105.97,160520,6,-12.33
NOC,472.99,477.68,0.4391,471.38,0.4698,474.79,8041,0,8.33
INTC,31.95,32.64,0.5168,31.77,0.7839,32.14,131269,0,3.6
