open,low,price,high,relvolume,percentchange,symbol,watchers,hourchange,sentiment
265.655,264.36,270.02,270.06,0.5878,0.9119,NVDA,421737,-1,-1.24
8.91,8.68,9.06,9.2192,0.273,1.0033,CVNA,23311,1,-0.87
5.24,5.1301,5.2,5.3,0.3666,1.5625,AMC,413214,3,-1.29
90.23,88.3,89.87,90.69,0.7217,-2.049,AMD,456850,1,-2.83
5.89,5.81,5.96,6.0,0.6655,0.6757,SOFI,91920,1,0.18
139.95,137.66,139.83,140.06,1.0164,0.7929,JPM,82975,2,0.68
219.79,217.13,218.86,220.979,0.4402,-1.1874,META,512925,0,0.24
165.09,164.03,165.23,165.39,0.5412,0.0121,AAPL,878010,0,2.35
186.32,182.7,187.04,189.69,0.6825,1.1027,TSLA,891666,10,0.17
128.3,126.8,127.82,128.72,0.5124,-0.2497,IBM,51378,0,-5.04
104.658,104.52,105.97,106.155,0.816,-2.6637,GOOGL,160532,8,-12.05
472.99,471.38,474.79,477.68,0.4391,0.4698,NOC,8041,0,3.57
31.95,31.77,32.14,32.64,0.5168,0.7839,INTC,131274,3,3.25
90.55,90.35,91.15,91.23,0.9083,0.3192,SONY,2088,0,0.0
289.93,286.2,288.8,291.58,0.6118,0.9296,MSFT,443554,0,2.72
103.16,101.59,102.74,103.73,0.5299,0.2244,AMZN,588613,4,-0.44
127.37,127.14,128.08,128.42,0.4493,0.1642,EA,20706,0,-10.0
215.0,214.7801,224.92,229.23,1.7249,7.6687,ENPH,37476,0,3.52
