low,percentchange,relvolume,open,symbol,price,high,watchers,hourchange,sentiment
126.8,-0.2497,0.5124,128.3,IBM,127.82,128.72,51378,0,-5.04
104.52,-2.6637,0.816,104.658,GOOGL,105.97,106.155,160532,8,-12.05
182.7,1.1027,0.6825,186.32,TSLA,187.04,189.69,891666,10,0.17
471.38,0.4698,0.4391,472.99,NOC,474.79,477.68,8041,0,3.57
31.77,0.7839,0.5168,31.95,INTC,32.14,32.64,131274,3,3.25
90.35,0.3192,0.9083,90.55,SONY,91.15,91.23,2088,0,0.0
286.2,0.9296,0.6118,289.93,MSFT,288.8,291.58,443554,0,2.72
101.59,0.2244,0.5299,103.16,AMZN,102.74,103.73,588613,4,-0.44
214.7801,7.6687,1.7249,215.0,ENPH,224.92,229.23,37476,0,3.52
127.14,0.1642,0.4493,127.37,EA,128.08,128.42,20706,0,-10.0
264.36,0.9119,0.5878,265.655,NVDA,270.02,270.06,421737,-1,-1.24
8.68,1.0033,0.273,8.91,CVNA,9.06,9.2192,23311,1,-0.87
5.1301,1.5625,0.3666,5.24,AMC,5.2,5.3,413214,3,-1.29
88.3,-2.049,0.7217,90.23,AMD,89.87,90.69,456850,1,-2.83
217.13,-1.1874,0.4402,219.79,META,218.86,220.979,512925,0,0.24
5.81,0.6757,0.6655,5.89,SOFI,5.96,6.0,91920,1,0.18
164.03,0.0121,0.5412,165.09,AAPL,165.23,165.39,878010,0,2.35
137.66,0.7929,1.0164,139.95,JPM,139.83,140.06,82975,2,0.68
