percentchange,relvolume,symbol,low,open,high,price,watchers,hourchange,sentiment
-2.6637,0.816,GOOGL,104.52,104.658,106.155,105.97,160532,8,-12.05
0.4698,0.4391,NOC,471.38,472.99,477.68,474.79,8041,0,3.57
1.1027,0.6825,TSLA,182.7,186.32,189.69,187.04,891666,10,0.17
0.7839,0.5168,INTC,31.77,31.95,32.64,32.14,131274,3,3.25
0.3192,0.9083,SONY,90.35,90.55,91.23,91.15,2088,0,0.0
0.9296,0.6118,MSFT,286.2,289.93,291.58,288.8,443554,0,2.72
7.6687,1.7249,ENPH,214.7801,215.0,229.23,224.92,37476,0,3.52
0.2244,0.5299,AMZN,101.59,103.16,103.73,102.74,588613,4,-0.44
0.1642,0.4493,EA,127.14,127.37,128.42,128.08,20706,0,-10.0
0.9119,0.5878,NVDA,264.36,265.655,270.06,270.02,421737,-1,-1.24
1.0033,0.273,CVNA,8.68,8.91,9.2192,9.06,23311,1,-0.87
1.5625,0.3666,AMC,5.1301,5.24,5.3,5.2,413214,3,-1.29
-1.1874,0.4402,META,217.13,219.79,220.979,218.86,512925,0,0.24
-2.049,0.7217,AMD,88.3,90.23,90.69,89.87,456850,1,-2.83
0.6757,0.6655,SOFI,5.81,5.89,6.0,5.96,91920,1,0.18
0.7929,1.0164,JPM,137.66,139.95,140.06,139.83,82975,2,0.68
0.0121,0.5412,AAPL,164.03,165.09,165.39,165.23,878010,0,2.35
-0.2497,0.5124,IBM,126.8,128.3,128.72,127.82,51378,0,-5.04
