open,high,price,low,relvolume,symbol,percentchange,watchers,hourchange,sentiment
127.37,128.42,128.08,127.14,0.4493,EA,0.1642,20706,0,-10.0
265.655,270.06,270.02,264.36,0.5878,NVDA,0.9119,421740,3,-1.27
8.91,9.2192,9.06,8.68,0.273,CVNA,1.0033,23312,1,-0.94
5.24,5.3,5.2,5.1301,0.3666,AMC,1.5625,413213,-1,-1.66
90.23,90.69,89.87,88.3,0.7217,AMD,-2.049,456852,2,-3.06
5.89,6.0,5.96,5.81,0.6655,SOFI,0.6757,91920,0,0.18
219.79,220.979,218.86,217.13,0.4402,META,-1.1874,512924,-1,0.31
139.95,140.06,139.83,137.66,1.0164,JPM,0.7929,82976,1,0.48
165.09,165.39,165.23,164.03,0.5412,AAPL,0.0121,878015,5,2.53
128.3,128.72,127.82,126.8,0.5124,IBM,-0.2497,51378,0,-5.04
186.32,189.69,187.04,182.7,0.6825,TSLA,1.1027,891674,8,0.35
472.99,477.68,474.79,471.38,0.4391,NOC,0.4698,8041,0,3.57
104.658,106.155,105.97,104.52,0.816,GOOGL,-2.6637,160537,5,-12.05
31.95,32.64,32.14,31.77,0.5168,INTC,0.7839,131274,0,4.41
90.55,91.23,91.15,90.35,0.9083,SONY,0.3192,2088,0,0.0
289.93,291.58,288.8,286.2,0.6118,MSFT,0.9296,443559,5,2.92
215.0,229.23,224.92,214.7801,1.7249,ENPH,7.6687,37477,1,3.52
103.16,103.73,102.74,101.59,0.5299,AMZN,0.2244,588619,6,-0.28
