low,open,relvolume,percentchange,high,price,symbol,watchers,hourchange,sentiment
127.14,127.37,0.4493,0.1642,128.42,128.08,EA,20704,-2,-10.0
264.36,265.655,0.5878,0.9119,270.06,270.02,NVDA,421747,7,-1.17
8.68,8.91,0.273,1.0033,9.2192,9.06,CVNA,23312,0,-1.03
5.1301,5.24,0.3666,1.5625,5.3,5.2,AMC,413211,-2,-1.77
88.3,90.23,0.7217,-2.049,90.69,89.87,AMD,456852,0,-2.94
5.81,5.89,0.6655,0.6757,6.0,5.96,SOFI,91921,1,0.21
217.13,219.79,0.4402,-1.1874,220.979,218.86,META,512927,3,0.34
137.66,139.95,1.0164,0.7929,140.06,139.83,JPM,82978,2,0.54
164.03,165.09,0.5412,0.0121,165.39,165.23,AAPL,878015,0,2.83
126.8,128.3,0.5124,-0.2497,128.72,127.82,IBM,51377,-1,-5.04
182.7,186.32,0.6825,1.1027,189.69,187.04,TSLA,891682,8,0.44
471.38,472.99,0.4391,0.4698,477.68,474.79,NOC,8041,0,6.35
104.52,104.658,0.816,-2.6637,106.155,105.97,GOOGL,160537,0,-11.86
31.77,31.95,0.5168,0.7839,32.64,32.14,INTC,131274,0,4.28
90.35,90.55,0.9083,0.3192,91.23,91.15,SONY,2088,0,0.0
286.2,289.93,0.6118,0.9296,291.58,288.8,MSFT,443563,4,2.73
214.7801,215.0,1.7249,7.6687,229.23,224.92,ENPH,37481,4,3.52
101.59,103.16,0.5299,0.2244,103.73,102.74,AMZN,588622,3,0.14
