symbol,open,high,percentchange,low,price,relvolume,watchers,hourchange,sentiment
CVNA,9.22,9.285,-2.8146,8.76,8.805,0.2683,23301,-4,-2.88
META,219.91,220.44,-0.4067,216.215,217.97,0.3488,512940,4,-0.84
JPM,140.27,141.775,1.1264,139.03,141.405,0.8356,82988,0,0.02
MSFT,291.57,291.6,-0.0693,287.02,288.6,0.5165,443604,0,3.56
EA,128.81,129.38,0.773,127.82,129.07,0.5166,20705,-1,0.0
AMZN,103.95,104.2,-0.3358,101.52,102.395,0.555,588647,8,1.61
IBM,128.14,128.68,-0.0196,127.35,127.795,0.4769,51380,1,-1.02
NOC,475.74,483.31,0.9741,475.77,479.415,0.6483,8042,1,-12.5
ENPH,225.43,231.31,1.3427,222.23,227.94,0.8254,37489,3,-0.84
SOFI,6.0,6.02,0.2517,5.895,5.975,0.4567,91914,-2,-0.57
SONY,91.57,91.86,0.1865,90.995,91.32,0.8545,2086,0,0.0
NVDA,275.335,281.0802,2.5183,273.57,276.82,1.1798,421841,6,0.3
AMC,5.23,5.212,-2.7885,4.98,5.055,0.3403,413184,-1,-2.27
AMD,91.61,92.16,-0.0556,89.33,89.82,0.6994,456867,0,1.32
INTC,32.43,32.46,-0.9023,31.785,31.85,0.4755,131277,2,1.77
AAPL,166.1,167.41,0.811,165.65,166.57,0.6295,878082,6,3.3
TSLA,187.15,187.69,-1.4542,183.5887,184.32,0.5393,891773,9,-0.82
GOOGL,106.49,106.515,-1.3494,104.07,104.54,0.5757,160550,-1,-1.54
