low,percentchange,open,high,symbol,price,relvolume,watchers,hourchange,sentiment
287.02,-0.0693,291.57,291.6,MSFT,288.6,0.5165,443612,8,3.43
101.52,-0.3358,103.95,104.2,AMZN,102.395,0.555,588649,2,0.89
127.82,0.773,128.81,129.38,EA,129.07,0.5166,20704,-1,0.0
127.35,-0.0196,128.14,128.68,IBM,127.795,0.4769,51381,1,-1.02
475.77,0.9741,475.74,483.31,NOC,479.415,0.6483,8043,1,-12.5
222.23,1.3427,225.43,231.31,ENPH,227.94,0.8254,37487,-2,-1.75
5.895,0.2517,6.0,6.02,SOFI,5.975,0.4567,91914,0,-0.8
90.995,0.1865,91.57,91.86,SONY,91.32,0.8545,2086,0,0.0
273.57,2.5183,275.335,281.0802,NVDA,276.82,1.1798,421847,6,-0.55
4.98,-2.7885,5.23,5.212,AMC,5.055,0.3403,413186,2,-2.37
89.33,-0.0556,91.61,92.16,AMD,89.82,0.6994,456869,2,1.54
31.785,-0.9023,32.43,32.46,INTC,31.85,0.4755,131272,-5,2.27
165.65,0.811,166.1,167.41,AAPL,166.57,0.6295,878083,1,3.21
104.07,-1.3494,106.49,106.515,GOOGL,104.54,0.5757,160548,-2,-1.3
183.5887,-1.4542,187.15,187.69,TSLA,184.32,0.5393,891778,5,-0.77
8.76,-2.8146,9.22,9.285,CVNA,8.805,0.2683,23302,1,-3.04
216.215,-0.4067,219.91,220.44,META,217.97,0.3488,512939,-1,-0.63
139.03,1.1264,140.27,141.775,JPM,141.405,0.8356,82991,3,-0.05
