open,symbol,low,percentchange,price,high,relvolume,watchers,hourchange,sentiment
166.1,AAPL,165.65,0.7505,166.47,167.41,0.6295,878081,-2,3.59
106.49,GOOGL,104.07,-1.3872,104.5,106.515,0.5757,160551,3,-2.13
187.15,TSLA,183.5887,-1.4596,184.31,187.69,0.5393,891791,13,-0.64
9.22,CVNA,8.76,-2.8698,8.8,9.285,0.2683,23300,-2,-3.28
219.91,META,216.215,-0.4432,217.89,220.44,0.3488,512946,7,0.39
140.27,JPM,139.03,1.1228,141.4,141.78,0.8356,82989,-2,-0.05
128.81,EA,127.82,0.7495,129.04,129.38,0.5166,20704,0,0.0
291.57,MSFT,287.02,-0.1489,288.37,291.6,0.5165,443618,6,3.46
475.74,NOC,475.74,0.9857,479.47,483.4,0.6483,8043,0,-8.33
103.95,AMZN,101.52,-0.4283,102.3,104.2,0.555,588650,1,1.26
225.43,ENPH,222.23,1.3116,227.87,231.31,0.8254,37486,-1,-1.91
128.14,IBM,127.35,-0.0313,127.78,128.68,0.4769,51381,0,-0.57
6.0,SOFI,5.895,0.3356,5.98,6.02,0.4567,91919,5,-1.03
275.335,NVDA,273.57,2.4628,276.67,281.0802,1.1798,421847,0,0.04
32.43,INTC,31.785,-0.9645,31.83,32.46,0.4755,131272,0,0.5
91.57,SONY,90.99,0.1755,91.31,91.86,0.8545,2086,0,0.0
5.23,AMC,4.98,-2.8846,5.05,5.212,0.3403,413188,2,-2.3
91.61,AMD,89.33,-0.1001,89.78,92.16,0.6994,456870,1,2.46
