low,price,percentchange,symbol,relvolume,open,high,watchers,hourchange,sentiment
5.895,5.98,0.3356,SOFI,0.4567,6.0,6.02,91917,-2,-0.76
90.99,91.31,0.1755,SONY,0.8545,91.57,91.86,2086,0,0.0
89.33,89.78,-0.1001,AMD,0.6994,91.61,92.16,456871,1,2.47
31.785,31.83,-0.9645,INTC,0.4755,32.43,32.46,131276,4,0.85
4.98,5.05,-2.8846,AMC,0.3403,5.23,5.212,413184,-4,-2.26
273.57,276.67,2.4628,NVDA,1.1798,275.335,281.0802,421850,3,-0.06
165.65,166.47,0.7505,AAPL,0.6295,166.1,167.41,878090,9,3.5
104.07,104.5,-1.3872,GOOGL,0.5757,106.49,106.515,160551,0,-2.52
183.5887,184.31,-1.4596,TSLA,0.5393,187.15,187.69,891795,4,-0.7
8.76,8.8,-2.8698,CVNA,0.2683,9.22,9.285,23300,0,-3.54
216.215,217.89,-0.4432,META,0.3488,219.91,220.44,512946,0,0.79
139.03,141.4,1.1228,JPM,0.8356,140.27,141.78,82988,-1,-0.29
127.82,129.04,0.7495,EA,0.5166,128.81,129.38,20704,0,0.0
287.02,288.37,-0.1489,MSFT,0.5165,291.57,291.6,443622,4,3.1
475.74,479.47,0.9857,NOC,0.6483,475.74,483.4,8043,0,-8.33
222.23,227.87,1.3116,ENPH,0.8254,225.43,231.31,37486,0,-1.82
101.52,102.3,-0.4283,AMZN,0.555,103.95,104.2,588653,3,1.28
127.35,127.78,-0.0313,IBM,0.4769,128.14,128.68,51381,0,-1.19
