open,price,percentchange,relvolume,high,low,symbol,watchers,hourchange,sentiment
106.49,104.5,-1.3872,0.5757,106.515,104.07,GOOGL,160555,4,-2.45
187.15,184.31,-1.4596,0.5393,187.69,183.5887,TSLA,891798,3,-0.48
219.91,217.89,-0.4432,0.3488,220.44,216.215,META,512944,-2,1.21
9.22,8.8,-2.8698,0.2683,9.285,8.76,CVNA,23300,0,-3.81
291.57,288.37,-0.1489,0.5165,291.6,287.02,MSFT,443622,0,4.33
140.27,141.4,1.1228,0.8356,141.78,139.03,JPM,82988,0,-0.05
128.81,129.04,0.7495,0.5166,129.38,127.82,EA,20704,0,0.0
475.74,479.47,0.9857,0.6483,483.4,475.74,NOC,8043,0,-8.33
225.43,227.87,1.3116,0.8254,231.31,222.23,ENPH,37486,0,-1.69
103.95,102.3,-0.4283,0.555,104.2,101.52,AMZN,588657,4,1.51
128.14,127.78,-0.0313,0.4769,128.68,127.35,IBM,51381,0,-0.62
6.0,5.98,0.3356,0.4567,6.02,5.895,SOFI,91918,1,-0.81
5.23,5.05,-2.8846,0.3403,5.212,4.98,AMC,413186,2,-1.95
32.43,31.83,-0.9645,0.4755,32.46,31.785,INTC,131278,2,0.16
91.57,91.31,0.1755,0.8545,91.86,90.99,SONY,2086,0,0.0
91.61,89.78,-0.1001,0.6994,92.16,89.33,AMD,456871,0,2.83
275.335,276.67,2.4628,1.1798,281.0802,273.57,NVDA,421856,6,0.1
166.1,166.47,0.7505,0.6295,167.41,165.65,AAPL,878090,0,3.72
