high,percentchange,symbol,relvolume,open,price,low,watchers,hourchange,sentiment
167.41,0.7505,AAPL,0.6295,166.1,166.47,165.65,878094,4,3.69
106.515,-1.3872,GOOGL,0.5757,106.49,104.5,104.07,160554,-1,-2.31
187.69,-1.4596,TSLA,0.5393,187.15,184.31,183.5887,891794,-4,-0.73
9.285,-2.8698,CVNA,0.2683,9.22,8.8,8.76,23296,-4,-3.81
220.44,-0.4432,META,0.3488,219.91,217.89,216.215,512948,4,1.03
291.6,-0.1489,MSFT,0.5165,291.57,288.37,287.02,443619,-3,4.81
141.78,1.1228,JPM,0.8356,140.27,141.4,139.03,82989,1,-0.52
231.31,1.3116,ENPH,0.8254,225.43,227.87,222.23,37486,0,-1.73
483.4,0.9857,NOC,0.6483,475.74,479.47,475.74,8043,0,-11.11
104.2,-0.4283,AMZN,0.555,103.95,102.3,101.52,588659,2,1.45
129.38,0.7495,EA,0.5166,128.81,129.04,127.82,20704,0,0.0
128.68,-0.0313,IBM,0.4769,128.14,127.78,127.35,51379,-2,-0.62
6.02,0.3356,SOFI,0.4567,6.0,5.98,5.895,91920,2,-0.98
5.212,-2.8846,AMC,0.3403,5.23,5.05,4.98,413184,-2,-1.88
32.46,-0.9645,INTC,0.4755,32.43,31.83,31.785,131278,0,0.18
281.0802,2.4628,NVDA,1.1798,275.335,276.67,273.57,421845,-11,0.09
92.16,-0.1001,AMD,0.6994,91.61,89.78,89.33,456869,-2,2.78
91.86,0.1755,SONY,0.8545,91.57,91.31,90.99,2087,1,0.0
