percentchange,low,high,symbol,open,price,relvolume,watchers,hourchange,sentiment
0.7505,165.65,167.41,AAPL,166.1,166.47,0.6295,878098,4,3.87
-1.3872,104.07,106.515,GOOGL,106.49,104.5,0.5757,160554,0,-2.65
-1.4596,183.5887,187.69,TSLA,187.15,184.31,0.5393,891798,4,-0.73
-2.8698,8.76,9.285,CVNA,9.22,8.8,0.2683,23297,1,-4.14
-0.4432,216.215,220.44,META,219.91,217.89,0.3488,512946,-2,1.03
-0.1489,287.02,291.6,MSFT,291.57,288.37,0.5165,443620,1,4.77
1.1228,139.03,141.78,JPM,140.27,141.4,0.8356,82990,1,-0.52
1.3116,222.23,231.31,ENPH,225.43,227.87,0.8254,37486,0,-1.64
0.9857,475.74,483.4,NOC,475.74,479.47,0.6483,8043,0,-11.11
-0.4283,101.52,104.2,AMZN,103.95,102.3,0.555,588663,4,1.28
0.7495,127.82,129.38,EA,128.81,129.04,0.5166,20704,0,0.0
-0.0313,127.35,128.68,IBM,128.14,127.78,0.4769,51378,-1,-0.62
0.3356,5.895,6.02,SOFI,6.0,5.98,0.4567,91919,-1,-0.93
-2.8846,4.98,5.212,AMC,5.23,5.05,0.3403,413181,-3,-1.82
-0.9645,31.785,32.46,INTC,32.43,31.83,0.4755,131278,0,0.54
2.4628,273.57,281.0802,NVDA,275.335,276.67,1.1798,421845,0,-0.04
-0.1001,89.33,92.16,AMD,91.61,89.78,0.6994,456871,2,2.78
0.1755,90.99,91.86,SONY,91.57,91.31,0.8545,2087,0,0.0
