low,symbol,relvolume,percentchange,price,open,high,watchers,hourchange,sentiment
165.65,AAPL,0.6295,0.7505,166.47,166.1,167.41,878103,5,4.02
104.07,GOOGL,0.5757,-1.3872,104.5,106.49,106.515,160554,0,-2.58
183.5887,TSLA,0.5393,-1.4596,184.31,187.15,187.69,891803,5,-0.63
8.76,CVNA,0.2683,-2.8698,8.8,9.22,9.285,23295,-2,-4.4
216.215,META,0.3488,-0.4432,217.89,219.91,220.44,512948,2,0.77
287.02,MSFT,0.5165,-0.1489,288.37,291.57,291.6,443617,-3,5.01
139.03,JPM,0.8356,1.1228,141.4,140.27,141.78,82990,0,-0.58
222.23,ENPH,0.8254,1.3116,227.87,225.43,231.31,37487,1,-1.3
475.74,NOC,0.6483,0.9857,479.47,475.74,483.4,8043,0,-11.11
101.52,AMZN,0.555,-0.4283,102.3,103.95,104.2,588663,0,1.5
127.82,EA,0.5166,0.7495,129.04,128.81,129.38,20704,0,0.0
127.35,IBM,0.4769,-0.0313,127.78,128.14,128.68,51378,0,-0.62
5.895,SOFI,0.4567,0.3356,5.98,6.0,6.02,91919,0,-1.09
4.98,AMC,0.3403,-2.8846,5.05,5.23,5.212,413179,-2,-1.84
31.785,INTC,0.4755,-0.9645,31.83,32.43,32.46,131278,0,0.54
273.57,NVDA,1.1798,2.4628,276.67,275.335,281.0802,421849,4,0.13
89.33,AMD,0.6994,-0.1001,89.78,91.61,92.16,456872,1,2.98
90.99,SONY,0.8545,0.1755,91.31,91.57,91.86,2087,0,0.0
