open,low,price,symbol,relvolume,high,percentchange,watchers,hourchange,sentiment
8.6,8.3,8.635,CVNA,0.2952,8.84,-1.875,23284,-1,-4.39
285.99,284.54,288.42,MSFT,0.4744,289.05,0.0173,443647,3,5.34
128.58,128.075,128.155,EA,0.3668,128.9,-0.6858,20705,1,10.0
141.23,140.41,141.22,JPM,0.5763,141.5,-0.1273,82989,0,-0.68
179.1,177.65,180.49,TSLA,0.6315,183.5,-2.0726,891999,25,0.78
91.0,90.73,90.95,SONY,0.5063,91.12,-0.3943,2087,1,0.0
5.9,5.87,6.075,SOFI,0.4953,6.1,1.5886,91963,16,0.91
165.8,165.54,167.59,AAPL,0.6395,168.16,0.6728,878179,3,4.2
225.06,222.3,224.41,ENPH,0.5032,228.49,-1.5184,37475,-1,-0.26
4.95,4.92,5.1,AMC,0.3154,5.17,0.9901,413181,-2,-1.52
31.1,31.0828,31.16,INTC,0.4343,31.52,-2.1049,131281,2,0.0
101.58,101.39,104.295,AMZN,0.8364,105.12,1.9501,588745,9,2.6
480.46,476.24,477.25,NOC,0.4242,482.74,-0.463,8043,0,6.06
88.51,88.22,89.94,AMD,0.5543,90.54,0.1782,456896,-3,0.9
273.61,272.32,279.27,NVDA,0.6812,280.0,0.9397,421918,0,2.9
103.58,103.07,104.19,GOOGL,0.4564,104.98,-0.2967,160558,2,-0.17
213.472,212.94,215.6,META,0.4728,217.33,-1.051,512956,-3,3.28
126.5,125.3,126.28,IBM,0.9493,126.98,-1.1739,51409,4,1.48
