relvolume,symbol,price,high,percentchange,open,low,watchers,hourchange,sentiment
0.6812,NVDA,279.31,280.0,0.9542,273.61,272.32,421921,-2,4.84
0.4242,NOC,477.07,482.7909,-0.5006,480.46,476.2,8043,0,6.06
0.5543,AMD,89.94,90.54,0.1782,88.51,88.22,456906,0,0.56
0.8364,AMZN,104.3,105.12,1.955,101.58,101.39,588754,3,2.58
0.4564,GOOGL,104.18,104.98,-0.3062,103.58,103.07,160559,0,-0.2
0.9493,IBM,126.32,126.98,-1.1426,126.5,125.3,51443,9,0.13
0.4728,META,215.7,217.33,-1.0051,213.472,212.94,512954,-2,3.39
0.5763,JPM,141.22,141.5,-0.1273,141.23,140.4,82988,-2,-0.16
0.3668,EA,128.18,128.9,-0.6665,128.58,128.075,20704,0,10.0
0.6315,TSLA,180.59,183.5,-2.0183,179.1,177.65,892091,22,-1.52
0.5032,ENPH,224.27,228.49,-1.5798,225.06,222.3,37474,-1,-0.61
0.4953,SOFI,6.08,6.1,1.6722,5.9,5.87,91972,-1,1.26
0.4744,MSFT,288.45,289.05,0.0277,285.99,284.54,443653,-3,6.78
0.2952,CVNA,8.63,8.8426,-1.9318,8.6,8.295,23282,-2,-2.34
0.5063,SONY,90.97,91.12,-0.3724,91.0,90.73,2089,2,0.0
0.6395,AAPL,167.63,168.16,0.6968,165.8,165.54,878191,4,6.18
0.4343,INTC,31.15,31.52,-2.1363,31.1,31.0828,131281,0,1.89
0.3154,AMC,5.1,5.17,0.9901,4.95,4.92,413186,3,-0.99
