relvolume,low,percentchange,high,price,symbol,open,watchers,hourchange,sentiment
0.6812,272.32,0.9542,280.0,279.31,NVDA,273.61,421921,0,5.2
0.4242,476.2,-0.5006,482.7909,477.07,NOC,480.46,8043,0,6.06
0.5543,88.22,0.1782,90.54,89.94,AMD,88.51,456904,-2,0.32
0.8364,101.39,1.955,105.12,104.3,AMZN,101.58,588755,1,2.63
0.4564,103.07,-0.3062,104.98,104.18,GOOGL,103.58,160557,-2,-0.2
0.9493,125.3,-1.1426,126.98,126.32,IBM,126.5,51443,0,-0.22
0.4728,212.94,-1.0051,217.33,215.7,META,213.472,512952,-2,3.2
0.5763,140.4,-0.1273,141.5,141.22,JPM,141.23,82985,-3,0.26
0.3668,128.075,-0.6665,128.9,128.18,EA,128.58,20704,0,10.0
0.4744,284.54,0.0277,289.05,288.45,MSFT,285.99,443653,0,5.73
0.6315,177.65,-2.0183,183.5,180.59,TSLA,179.1,892109,18,-2.33
0.5032,222.3,-1.5798,228.49,224.27,ENPH,225.06,37472,-2,-0.48
0.4953,5.87,1.6722,6.1,6.08,SOFI,5.9,91972,0,1.68
0.5063,90.73,-0.3724,91.12,90.97,SONY,91.0,2089,0,0.0
0.2952,8.295,-1.9318,8.8426,8.63,CVNA,8.6,23282,0,-2.51
0.6395,165.54,0.6968,168.16,167.63,AAPL,165.8,878196,5,6.12
0.4343,31.0828,-2.1363,31.52,31.15,INTC,31.1,131281,0,0.65
0.3154,4.92,0.9901,5.17,5.1,AMC,4.95,413192,6,-1.0
