high,price,low,relvolume,symbol,percentchange,open,watchers,hourchange,sentiment
280.0,279.31,272.32,0.6812,NVDA,0.9542,273.61,421921,0,5.2
482.74,477.07,476.24,0.4242,NOC,-0.5006,480.46,8043,0,6.06
90.54,89.94,88.22,0.5543,AMD,0.1782,88.51,456904,-2,0.32
105.12,104.3,101.39,0.8364,AMZN,1.955,101.58,588755,1,2.63
104.98,104.18,103.07,0.4564,GOOGL,-0.3062,103.58,160557,-2,-0.2
126.98,126.32,125.3,0.9493,IBM,-1.1426,126.5,51443,0,-0.22
217.33,215.7,212.94,0.4728,META,-1.0051,213.472,512952,-2,3.2
141.5,141.22,140.41,0.5763,JPM,-0.1273,141.23,82985,-3,0.26
289.05,288.45,284.54,0.4744,MSFT,0.0277,285.99,443653,0,5.73
183.5,180.59,177.65,0.6315,TSLA,-2.0183,179.1,892109,18,-2.33
128.9,128.18,128.075,0.3668,EA,-0.6665,128.58,20704,0,10.0
228.49,224.27,222.3,0.5032,ENPH,-1.5798,225.06,37472,-2,-0.48
6.1,6.08,5.87,0.4953,SOFI,1.6722,5.9,91972,0,1.68
8.8426,8.63,8.295,0.2952,CVNA,-1.9318,8.6,23282,0,-2.51
91.12,90.97,90.73,0.5063,SONY,-0.3724,91.0,2089,0,0.0
31.52,31.15,31.0828,0.4343,INTC,-2.1363,31.1,131281,0,0.65
168.16,167.63,165.54,0.6395,AAPL,0.6968,165.8,878196,5,6.12
5.17,5.1,4.92,0.3154,AMC,0.9901,4.95,413192,6,-1.0
