relvolume,percentchange,price,high,open,low,symbol,watchers,hourchange,sentiment
0.6812,0.9542,279.31,280.0,273.61,272.32,NVDA,421921,0,5.2
0.4242,-0.5006,477.07,482.74,480.46,476.24,NOC,8043,0,6.06
0.5543,0.1782,89.94,90.54,88.51,88.22,AMD,456904,-2,0.32
0.8364,1.955,104.3,105.12,101.58,101.39,AMZN,588755,1,2.63
0.4564,-0.3062,104.18,104.98,103.58,103.07,GOOGL,160557,-2,-0.2
0.9493,-1.1426,126.32,126.98,126.5,125.3,IBM,51443,0,-0.22
0.4728,-1.0051,215.7,217.33,213.472,212.94,META,512952,-2,3.2
0.5763,-0.1273,141.22,141.5,141.23,140.41,JPM,82985,-3,0.26
0.4744,0.0277,288.45,289.05,285.99,284.54,MSFT,443653,0,5.73
0.6315,-2.0183,180.59,183.5,179.1,177.65,TSLA,892109,18,-2.33
0.4953,1.6722,6.08,6.1,5.9,5.87,SOFI,91972,0,1.68
0.3668,-0.6665,128.18,128.9,128.58,128.075,EA,20704,0,10.0
0.5032,-1.5798,224.27,228.49,225.06,222.3,ENPH,37472,-2,-0.48
0.5063,-0.3724,90.97,91.12,91.0,90.73,SONY,2089,0,0.0
0.2952,-1.9318,8.63,8.8426,8.6,8.295,CVNA,23282,0,-2.51
0.4343,-2.1363,31.15,31.52,31.1,31.0828,INTC,131281,0,0.65
0.6395,0.6968,167.63,168.16,165.8,165.54,AAPL,878196,5,6.12
0.3154,0.9901,5.1,5.17,4.95,4.92,AMC,413192,6,-1.0
