price,symbol,open,percentchange,high,low,relvolume,watchers,hourchange,sentiment
288.45,MSFT,285.99,0.0277,289.05,284.54,0.4744,443656,3,5.43
224.27,ENPH,225.06,-1.5798,228.49,222.3,0.5032,37472,0,-0.52
180.59,TSLA,179.1,-2.0183,183.5,177.65,0.6315,892141,32,-3.55
6.08,SOFI,5.9,1.6722,6.1,5.87,0.4953,91959,-13,1.61
31.15,INTC,31.1,-2.1363,31.52,31.0828,0.4343,131281,0,1.35
8.63,CVNA,8.6,-1.9318,8.84,8.3,0.2952,23281,-1,-1.68
90.97,SONY,91.0,-0.3724,91.12,90.73,0.5063,2089,0,0.0
5.1,AMC,4.95,0.9901,5.17,4.92,0.3154,413188,-4,-0.7
167.63,AAPL,165.8,0.6968,168.16,165.54,0.6395,878196,0,5.92
279.31,NVDA,273.61,0.9542,280.0,272.32,0.6812,421925,4,5.3
477.07,NOC,480.46,-0.5006,482.74,476.24,0.4242,8043,0,3.33
104.3,AMZN,101.58,1.955,105.12,101.39,0.8364,588753,-2,2.4
89.94,AMD,88.51,0.1782,90.54,88.22,0.5543,456904,0,0.62
104.18,GOOGL,103.58,-0.3062,104.98,103.07,0.4564,160563,6,-0.15
126.32,IBM,126.5,-1.1426,126.98,125.3,0.9493,51449,6,-3.23
215.7,META,213.472,-1.0051,217.33,212.94,0.4728,512953,1,3.26
128.18,EA,128.58,-0.6665,128.9,128.075,0.3668,20704,0,10.0
141.22,JPM,141.23,-0.1273,141.5,140.41,0.5763,82986,1,0.73
