relvolume,open,price,low,symbol,percentchange,high,watchers,hourchange,sentiment
0.4744,285.99,288.45,284.54,MSFT,0.0277,289.05,443656,3,5.43
0.5032,225.06,224.27,222.3,ENPH,-1.5798,228.49,37472,0,-0.52
0.6315,179.1,180.59,177.65,TSLA,-2.0183,183.5,892141,32,-3.55
0.4953,5.9,6.08,5.87,SOFI,1.6722,6.1,91959,-13,1.61
0.4343,31.1,31.15,31.0828,INTC,-2.1363,31.52,131281,0,1.35
0.2952,8.6,8.63,8.3,CVNA,-1.9318,8.84,23281,-1,-1.68
0.5063,91.0,90.97,90.73,SONY,-0.3724,91.12,2089,0,0.0
0.3154,4.95,5.1,4.92,AMC,0.9901,5.17,413188,-4,-0.7
0.6395,165.8,167.63,165.54,AAPL,0.6968,168.16,878196,0,5.92
0.6812,273.61,279.31,272.32,NVDA,0.9542,280.0,421925,4,5.3
0.4242,480.46,477.07,476.24,NOC,-0.5006,482.74,8043,0,3.33
0.8364,101.58,104.3,101.39,AMZN,1.955,105.12,588753,-2,2.4
0.5543,88.51,89.94,88.22,AMD,0.1782,90.54,456904,0,0.62
0.4564,103.58,104.18,103.07,GOOGL,-0.3062,104.98,160563,6,-0.15
0.9493,126.5,126.32,125.3,IBM,-1.1426,126.98,51449,6,-3.23
0.4728,213.472,215.7,212.94,META,-1.0051,217.33,512953,1,3.26
0.3668,128.58,128.18,128.075,EA,-0.6665,128.9,20704,0,10.0
0.5763,141.23,141.22,140.41,JPM,-0.1273,141.5,82986,1,0.73
