price,symbol,low,relvolume,percentchange,high,open,watchers,hourchange,sentiment
288.45,MSFT,284.54,0.4744,0.0277,289.05,285.99,443663,6,5.5
224.27,ENPH,222.3,0.5032,-1.5798,228.49,225.06,37473,0,-0.61
180.59,TSLA,177.65,0.6315,-2.0183,183.5,179.1,892183,18,-5.55
6.08,SOFI,5.87,0.4953,1.6722,6.1,5.9,91960,1,1.93
31.15,INTC,31.0828,0.4343,-2.1363,31.52,31.1,131285,0,1.89
8.63,CVNA,8.3,0.2952,-1.9318,8.84,8.6,23286,0,-1.34
90.97,SONY,90.73,0.5063,-0.3724,91.12,91.0,2089,0,0.0
5.1,AMC,4.92,0.3154,0.9901,5.17,4.95,413188,0,-0.1
167.63,AAPL,165.54,0.6395,0.6968,168.16,165.8,878202,6,5.71
279.31,NVDA,272.32,0.6812,0.9542,280.0,273.61,421933,3,5.34
477.07,NOC,476.24,0.4242,-0.5006,482.74,480.46,8043,0,3.33
104.3,AMZN,101.39,0.8364,1.955,105.12,101.58,588753,0,2.42
89.94,AMD,88.22,0.5543,0.1782,90.54,88.51,456906,0,-0.08
104.18,GOOGL,103.07,0.4564,-0.3062,104.98,103.58,160564,1,0.04
126.32,IBM,125.3,0.9493,-1.1426,126.98,126.5,51454,0,-3.05
215.7,META,212.94,0.4728,-1.0051,217.33,213.472,512961,5,3.71
128.18,EA,128.075,0.3668,-0.6665,128.9,128.58,20704,0,10.0
141.22,JPM,140.41,0.5763,-0.1273,141.5,141.23,82988,2,0.49
