open,high,percentchange,symbol,price,relvolume,low,watchers,hourchange,sentiment
478.4,478.4,-0.2872,NOC,475.7,0.2522,473.09,8044,0,13.33
285.25,289.03,-0.0451,MSFT,288.32,0.3892,285.15,443676,6,1.86
276.71,280.3,-0.9899,NVDA,276.545,0.5008,274.5,421986,0,5.22
220.5,226.26,-0.0658,ENPH,224.1224,0.3935,219.31,37474,-3,0.5
213.48,216.75,0.1391,META,216.0,0.2937,213.07,512982,-2,3.04
166.09,167.87,-0.0865,AAPL,167.485,0.436,165.91,878261,6,3.84
166.165,169.55,-9.5299,TSLA,163.38,0.9656,162.66,892374,20,-9.96
139.91,141.4299,-0.1593,JPM,140.995,0.352,140.17,82979,-4,0.78
128.28,129.56,0.5032,EA,128.825,0.3236,128.15,20703,0,0.0
130.15,130.98,0.2296,IBM,126.61,1.3482,125.84,51490,0,-0.23
103.91,106.25,1.651,GOOGL,105.9,0.3666,103.8684,160574,0,-1.58
103.53,105.24,0.0482,AMZN,104.3503,0.5389,103.38,588805,0,1.16
90.97,92.275,1.1487,SONY,92.015,0.4531,90.915,2090,0,0.0
88.825,91.575,1.1786,AMD,91.0,0.4965,88.75,456931,0,-1.06
30.76,31.25,-0.1281,INTC,31.1101,0.3408,30.71,131298,2,1.76
8.3,8.51,-6.7787,CVNA,8.045,0.2687,7.94,23283,0,2.93
5.9,6.045,-2.3849,SOFI,5.935,0.3445,5.9,91961,-6,0.97
5.0,5.02,-3.0392,AMC,4.945,0.1683,4.89,413188,-2,0.56
