price,open,low,relvolume,percentchange,high,symbol,watchers,hourchange,sentiment
474.94,478.4,473.09,0.2661,-0.4465,478.4,NOC,8044,0,13.33
287.16,285.25,285.15,0.4145,-0.4472,289.03,MSFT,443677,1,1.26
275.34,276.71,274.5,0.5246,-1.4214,280.3,NVDA,421989,3,4.92
223.73,220.5,219.31,0.4087,-0.2408,226.26,ENPH,37473,-1,0.5
215.17,213.48,213.07,0.3057,-0.2457,216.75,META,512981,-1,0.61
167.13,166.09,165.91,0.4607,-0.2983,167.87,AAPL,878261,0,3.26
162.24,166.165,162.05,1.0138,-10.1611,169.55,TSLA,892380,6,-9.97
141.22,139.91,140.17,0.3761,0.0,141.4299,JPM,82976,-3,0.28
128.88,128.28,128.15,0.3404,0.5461,129.56,EA,20703,0,0.0
126.78,130.15,125.84,1.3874,0.3642,130.98,IBM,51491,1,-1.45
105.4403,103.91,103.8684,0.3899,1.2097,106.25,GOOGL,160574,0,-1.58
103.835,103.53,103.38,0.567,-0.4458,105.24,AMZN,588810,5,0.15
91.84,90.97,90.915,0.4928,0.9564,92.275,SONY,2091,1,0.0
90.65,88.825,88.75,0.5196,0.7894,91.575,AMD,456927,-4,-0.69
31.065,30.76,30.71,0.3546,-0.2729,31.25,INTC,131298,0,0.64
7.9889,8.3,7.94,0.2796,-7.4287,8.51,CVNA,23282,-1,0.23
5.915,5.9,5.9,0.358,-2.7138,6.045,SOFI,91960,-1,0.97
4.9799,5.0,4.89,0.1813,-2.3549,5.02,AMC,413182,-6,0.79
