open,low,high,symbol,price,percentchange,relvolume,watchers,hourchange,sentiment
478.4,472.07,478.4,NOC,472.8,-0.895,0.311,8044,0,13.33
285.25,285.15,289.03,MSFT,286.11,-0.8112,0.4654,443677,1,1.26
276.71,273.01,280.3,NVDA,273.015,-2.2538,0.5915,421989,3,4.92
220.5,219.31,226.26,ENPH,223.51,-0.3389,0.4356,37473,-1,0.5
213.48,213.07,216.75,META,214.3,-0.649,0.3303,512981,-1,0.61
166.09,165.91,167.87,AAPL,166.29,-0.7994,0.5117,878261,0,3.26
166.165,161.85,169.55,TSLA,162.0101,-10.2884,1.0746,892380,6,-9.97
139.91,140.17,141.4299,JPM,140.95,-0.1912,0.4354,82976,-3,0.28
128.28,128.15,129.56,EA,128.53,0.2731,0.3756,20703,0,0.0
130.15,125.84,130.98,IBM,126.275,-0.0356,1.4525,51491,1,-1.45
103.91,103.8684,106.25,GOOGL,105.05,0.8351,0.4394,160574,0,-1.58
103.53,103.38,105.24,AMZN,103.525,-0.743,0.6377,588810,5,0.15
90.97,90.915,92.275,SONY,91.5,0.5826,0.5237,2091,1,0.0
88.825,88.75,91.575,AMD,89.891,-0.0545,0.5755,456927,-4,-0.69
30.76,30.71,31.25,INTC,30.8907,-0.8324,0.3815,131298,0,0.64
8.3,7.94,8.51,CVNA,8.02,-7.0684,0.293,23282,-1,0.23
5.9,5.9,6.045,SOFI,5.905,-2.8783,0.3851,91960,-1,0.97
5.0,4.89,5.02,AMC,4.94,-3.1373,0.1932,413182,-6,0.79
