relvolume,open,low,percentchange,symbol,price,high,watchers,hourchange,sentiment
0.3355,478.4,472.07,-0.9076,NOC,472.74,478.4,8043,-1,14.62
0.5102,285.25,285.15,-1.0227,MSFT,285.5,289.03,443677,0,1.1
0.6679,276.71,270.9925,-2.8105,NVDA,271.46,280.3,421993,4,4.33
0.4685,220.5,219.31,-0.3835,ENPH,223.41,226.26,37475,2,0.81
0.36,213.48,213.07,-0.9458,META,213.66,216.75,512981,0,-0.52
0.566,166.09,165.815,-1.0559,AAPL,165.86,167.87,878264,3,2.91
1.1418,166.165,160.58,-10.9419,TSLA,160.83,169.55,892406,26,-10.41
0.4779,139.91,140.17,-0.432,JPM,140.61,141.4299,82976,0,0.34
0.4021,128.28,128.15,0.156,EA,128.38,129.56,20703,0,0.0
1.5163,130.15,125.84,0.0435,IBM,126.375,130.98,51491,0,-1.32
0.4865,103.91,103.8684,0.4751,GOOGL,104.675,106.25,160581,7,-1.86
0.6886,103.53,103.265,-0.8917,AMZN,103.37,105.24,588817,7,-0.15
0.5577,90.97,90.915,0.3518,SONY,91.29,92.275,2091,0,0.0
0.6364,88.825,88.75,-0.2975,AMD,89.6724,91.575,456930,3,-1.3
0.4125,30.76,30.71,-0.9952,INTC,30.84,31.25,131297,-1,2.6
0.3066,8.3,7.94,-7.6651,CVNA,7.9685,8.51,23283,1,-1.84
0.416,5.9,5.9,-2.8783,SOFI,5.905,6.045,91960,0,0.55
0.202,5.0,4.89,-2.451,AMC,4.975,5.02,413185,3,0.9
