relvolume,price,low,percentchange,symbol,open,high,watchers,hourchange,sentiment
0.2431,4.965,4.89,-2.6471,AMC,5.0,5.02,413190,5,1.05
0.7099,91.39,90.915,0.4617,SONY,90.97,92.275,2090,-1,0.0
0.791,271.02,270.0,-2.968,NVDA,276.71,280.3,421995,2,2.93
0.5018,5.925,5.88,-2.5493,SOFI,5.9,6.045,91960,0,0.51
0.5805,105.28,103.8684,1.0559,GOOGL,103.91,106.25,160582,1,-2.02
1.261,162.94,160.56,-9.7735,TSLA,166.165,169.55,892438,32,-11.56
0.5739,140.82,140.17,-0.2832,JPM,139.91,141.4299,82976,0,0.11
0.4428,474.02,472.07,-0.6393,NOC,478.4,478.4,8043,0,11.89
0.5981,286.07,285.08,-0.8251,MSFT,285.25,289.03,443680,3,-1.02
0.6838,166.58,165.56,-0.6264,AAPL,166.09,167.87,878274,10,0.38
1.7117,126.38,125.84,0.0475,IBM,130.15,130.98,51488,-3,-3.23
0.5575,224.77,219.31,0.2229,ENPH,220.5,226.26,37478,3,1.41
0.7877,103.8201,103.21,-0.4601,AMZN,103.53,105.24,588820,3,-0.92
0.4419,213.04,212.77,-1.2332,META,213.48,216.75,512987,6,-1.9
0.4949,128.8,128.15,0.4837,EA,128.28,129.56,20703,0,0.0
0.5128,30.865,30.71,-0.9149,INTC,30.76,31.25,131293,-4,0.22
0.3562,7.99,7.91,-7.416,CVNA,8.3,8.51,23279,-4,-3.81
0.7047,90.12,88.75,0.2001,AMD,88.825,91.575,456933,3,-2.11
