relvolume,high,price,symbol,percentchange,open,low,watchers,hourchange,sentiment
0.5981,289.03,286.11,MSFT,-0.8112,285.25,285.08,443680,3,-1.02
0.4428,478.4,474.18,NOC,-0.6058,478.4,472.07,8043,0,11.89
1.7117,130.98,126.36,IBM,0.0317,130.15,125.84,51488,-3,-3.23
0.6838,167.87,166.65,AAPL,-0.5846,166.09,165.56,878274,10,0.38
0.4949,129.56,128.8,EA,0.4837,128.28,128.15,20703,0,0.0
0.5575,226.26,224.79,ENPH,0.2319,220.5,219.31,37478,3,1.41
0.7877,105.24,103.81,AMZN,-0.4698,103.53,103.21,588820,3,-0.92
0.4419,216.75,213.07,META,-1.2193,213.48,212.77,512987,6,-1.9
0.7047,91.575,90.11,AMD,0.189,88.825,88.75,456933,3,-2.11
0.3562,8.51,8.0,CVNA,-7.3001,8.3,7.91,23279,-4,-3.81
0.5128,31.25,30.86,INTC,-0.931,30.76,30.71,131293,-4,0.22
0.2431,5.02,4.97,AMC,-2.549,5.0,4.89,413190,5,1.05
0.7099,92.275,91.38,SONY,0.4507,90.97,90.915,2090,-1,0.0
0.5805,106.25,105.29,GOOGL,1.0655,103.91,103.8684,160582,1,-2.02
1.261,169.55,162.99,TSLA,-9.7458,166.165,160.56,892438,32,-11.56
0.791,280.3,271.04,NVDA,-2.9609,276.71,270.0,421995,2,2.93
0.5018,6.045,5.92,SOFI,-2.6316,5.98,5.88,91960,0,0.51
0.5739,141.43,140.81,JPM,-0.2903,139.91,139.84,82976,0,0.11
