price,percentchange,low,high,symbol,relvolume,open,watchers,hourchange,sentiment
91.38,0.4507,90.915,92.275,SONY,0.7099,90.97,2090,-1,0.0
105.29,1.0655,103.8684,106.25,GOOGL,0.5805,103.91,160582,1,-2.02
271.04,-2.9609,270.0,280.3,NVDA,0.791,276.71,421995,2,2.93
162.99,-9.7458,160.56,169.55,TSLA,1.261,166.165,892438,32,-11.56
5.92,-2.6316,5.88,6.045,SOFI,0.5018,5.98,91960,0,0.51
140.81,-0.2903,139.84,141.43,JPM,0.5739,139.91,82976,0,0.11
286.11,-0.8112,285.08,289.03,MSFT,0.5981,285.25,443680,3,-1.02
474.18,-0.6058,472.07,478.4,NOC,0.4428,478.4,8043,0,11.89
166.65,-0.5846,165.56,167.87,AAPL,0.6838,166.09,878274,10,0.38
126.36,0.0317,125.84,130.98,IBM,1.7117,130.15,51488,-3,-3.23
128.8,0.4837,128.15,129.56,EA,0.4949,128.28,20703,0,0.0
103.81,-0.4698,103.21,105.24,AMZN,0.7877,103.53,588820,3,-0.92
224.79,0.2319,219.31,226.26,ENPH,0.5575,220.5,37478,3,1.41
213.07,-1.2193,212.77,216.75,META,0.4419,213.48,512987,6,-1.9
90.11,0.189,88.75,91.575,AMD,0.7047,88.825,456933,3,-2.11
30.86,-0.931,30.71,31.25,INTC,0.5128,30.76,131293,-4,0.22
8.0,-7.3001,7.91,8.51,CVNA,0.3562,8.3,23279,-4,-3.81
4.97,-2.549,4.89,5.02,AMC,0.2431,5.0,413190,5,1.05
