price,percentchange,relvolume,open,high,symbol,low,watchers,hourchange,sentiment
474.18,-0.6058,0.4428,478.4,478.4,NOC,472.07,8042,-1,11.89
286.11,-0.8112,0.5981,285.25,289.03,MSFT,285.08,443691,11,-2.82
166.65,-0.5846,0.6838,166.09,167.87,AAPL,165.56,878279,5,-2.25
126.36,0.0317,1.7117,130.15,130.98,IBM,125.84,51487,-1,1.34
103.81,-0.4698,0.7877,103.53,105.24,AMZN,103.21,588824,4,-1.75
224.79,0.2319,0.5575,220.5,226.26,ENPH,219.31,37478,0,1.41
128.8,0.4837,0.4949,128.28,129.56,EA,128.15,20703,0,0.0
213.07,-1.2193,0.4419,213.48,216.75,META,212.77,512987,0,-1.9
90.11,0.189,0.7047,88.825,91.575,AMD,88.75,456931,-2,-2.11
30.86,-0.931,0.5128,30.76,31.25,INTC,30.71,131293,0,-1.13
8.0,-7.3001,0.3562,8.3,8.51,CVNA,7.91,23279,0,-3.81
4.97,-2.549,0.2431,5.0,5.02,AMC,4.89,413190,0,1.05
105.29,1.0655,0.5805,103.91,106.25,GOOGL,103.8684,160582,0,-2.02
91.38,0.4507,0.7099,90.97,92.275,SONY,90.915,2090,0,0.0
162.99,-9.7458,1.261,166.165,169.55,TSLA,160.56,892438,0,-11.56
271.04,-2.9609,0.791,276.71,280.3,NVDA,270.0,421999,4,1.67
5.92,-2.6316,0.5018,5.98,6.045,SOFI,5.88,91960,0,0.51
140.81,-0.2903,0.5739,139.91,141.4299,JPM,140.17,82976,0,-0.63
