low,relvolume,price,symbol,percentchange,open,high,watchers,hourchange,sentiment
285.08,0.5981,286.11,MSFT,-0.8112,285.25,289.03,443691,11,-2.82
125.84,1.7117,126.36,IBM,0.0317,130.15,130.98,51487,-1,1.34
165.56,0.6838,166.65,AAPL,-0.5846,166.09,167.87,878279,5,-2.25
219.31,0.5575,224.79,ENPH,0.2319,220.5,226.26,37478,0,1.41
212.77,0.4419,213.07,META,-1.2193,213.48,216.75,512987,0,-1.9
103.21,0.7877,103.81,AMZN,-0.4698,103.53,105.24,588824,4,-1.75
128.15,0.4949,128.8,EA,0.4837,128.28,129.56,20703,0,0.0
88.75,0.7047,90.11,AMD,0.189,88.825,91.575,456931,-2,-2.11
30.71,0.5128,30.86,INTC,-0.931,30.76,31.25,131293,0,-1.13
7.91,0.3562,8.0,CVNA,-7.3001,8.3,8.51,23279,0,-3.81
4.89,0.2431,4.97,AMC,-2.549,5.0,5.02,413190,0,1.05
103.8684,0.5805,105.29,GOOGL,1.0655,103.91,106.25,160582,0,-2.02
270.0,0.791,271.04,NVDA,-2.9609,276.71,280.3,421999,4,1.67
5.88,0.5018,5.92,SOFI,-2.6316,5.98,6.045,91960,0,0.51
90.915,0.7099,91.38,SONY,0.4507,90.97,92.275,2090,0,0.0
160.56,1.261,162.99,TSLA,-9.7458,166.165,169.55,892438,0,-11.56
140.17,0.5739,140.81,JPM,-0.2903,139.91,141.4299,82976,0,-0.63
472.07,0.4428,474.18,NOC,-0.6058,478.4,478.4,8042,-1,11.89
