open,low,high,percentchange,symbol,relvolume,price,watchers,hourchange,sentiment
88.825,88.75,91.575,0.189,AMD,0.7047,90.11,456932,1,-1.38
8.3,7.91,8.51,-7.3001,CVNA,0.3562,8.0,23279,0,-5.63
5.0,4.89,5.02,-2.549,AMC,0.2431,4.97,413189,-1,0.82
103.91,103.8684,106.25,1.0655,GOOGL,0.5805,105.29,160586,4,-1.32
276.71,270.0,280.3,-2.9609,NVDA,0.791,271.04,422006,7,1.35
90.97,90.915,92.275,0.4507,SONY,0.7099,91.38,2090,0,0.0
5.98,5.88,6.045,-2.6316,SOFI,0.5018,5.92,91960,0,0.16
166.165,160.56,169.55,-9.7458,TSLA,1.261,162.99,892479,41,-9.18
139.91,140.17,141.4299,-0.2903,JPM,0.5739,140.81,82976,0,-0.74
478.4,472.07,478.4,-0.6058,NOC,0.4428,474.18,8041,-1,5.84
285.25,285.08,289.03,-0.8112,MSFT,0.5981,286.11,443694,3,-2.92
166.09,165.56,167.87,-0.5846,AAPL,0.6838,166.65,878278,-1,-2.57
130.15,125.84,130.98,0.0317,IBM,1.7117,126.36,51481,-6,4.32
213.48,212.77,216.75,-1.2193,META,0.4419,213.07,512991,4,-3.16
128.28,128.15,129.56,0.4837,EA,0.4949,128.8,20703,0,0.0
220.5,219.31,226.26,0.2319,ENPH,0.5575,224.79,37478,0,1.77
103.53,103.21,105.24,-0.4698,AMZN,0.7877,103.81,588828,4,-1.92
30.76,30.71,31.25,-0.931,INTC,0.5128,30.86,131291,-2,-0.61
