high,open,low,relvolume,symbol,price,percentchange,watchers,hourchange,sentiment
478.4,478.4,472.07,0.4428,NOC,474.18,-0.6058,8041,0,8.57
289.03,285.25,285.08,0.5981,MSFT,286.11,-0.8112,443701,7,-2.36
167.87,166.09,165.56,0.6838,AAPL,166.65,-0.5846,878278,0,-2.72
130.98,130.15,125.84,1.7117,IBM,126.36,0.0317,51479,-2,4.36
216.75,213.48,212.77,0.4419,META,213.07,-1.2193,512995,4,-2.62
226.26,220.5,219.31,0.5575,ENPH,224.79,0.2319,37479,1,1.5
129.56,128.28,128.15,0.4949,EA,128.8,0.4837,20703,0,0.0
31.25,30.76,30.71,0.5128,INTC,30.86,-0.931,131293,2,-2.09
105.24,103.53,103.21,0.7877,AMZN,103.81,-0.4698,588835,7,-1.61
8.51,8.3,7.91,0.3562,CVNA,8.0,-7.3001,23279,0,-6.7
91.575,88.825,88.75,0.7047,AMD,90.11,0.189,456925,-7,-1.38
5.02,5.0,4.89,0.2431,AMC,4.97,-2.549,413195,6,0.68
106.25,103.91,103.8684,0.5805,GOOGL,105.29,1.0655,160590,4,-0.89
280.3,276.71,270.0,0.791,NVDA,271.04,-2.9609,422009,3,1.54
92.275,90.97,90.915,0.7099,SONY,91.38,0.4507,2090,0,0.0
6.045,5.98,5.88,0.5018,SOFI,5.92,-2.6316,91963,3,-0.18
169.55,166.165,160.56,1.261,TSLA,162.99,-9.7458,892487,8,-6.91
141.4299,139.91,140.17,0.5739,JPM,140.81,-0.2903,82975,-1,-1.1
