percentchange,symbol,high,low,relvolume,open,price,watchers,hourchange,sentiment
-2.6316,SOFI,6.045,5.88,0.5018,5.98,5.92,91963,3,-0.18
-9.7458,TSLA,169.55,160.56,1.261,166.165,162.99,892487,8,-6.91
-0.2903,JPM,141.4299,140.17,0.5739,139.91,140.81,82975,-1,-1.1
-0.8112,MSFT,289.03,285.08,0.5981,285.25,286.11,443701,7,-2.36
-0.6058,NOC,478.4,472.07,0.4428,478.4,474.18,8041,0,8.57
0.0317,IBM,130.98,125.84,1.7117,130.15,126.36,51479,-2,4.36
-0.5846,AAPL,167.87,165.56,0.6838,166.09,166.65,878278,0,-2.72
-1.2193,META,216.75,212.77,0.4419,213.48,213.07,512995,4,-2.62
0.4837,EA,129.56,128.15,0.4949,128.28,128.8,20703,0,0.0
0.2319,ENPH,226.26,219.31,0.5575,220.5,224.79,37479,1,1.5
-0.4698,AMZN,105.24,103.21,0.7877,103.53,103.81,588835,7,-1.61
-0.931,INTC,31.25,30.71,0.5128,30.76,30.86,131293,2,-2.09
-7.3001,CVNA,8.51,7.91,0.3562,8.3,8.0,23279,0,-6.7
0.189,AMD,91.575,88.75,0.7047,88.825,90.11,456925,-7,-1.38
-2.549,AMC,5.02,4.89,0.2431,5.0,4.97,413195,6,0.68
-2.9609,NVDA,280.3,270.0,0.791,276.71,271.04,422009,3,1.54
1.0655,GOOGL,106.25,103.8684,0.5805,103.91,105.29,160590,4,-0.89
0.4507,SONY,92.275,90.915,0.7099,90.97,91.38,2090,0,0.0
