relvolume,open,symbol,percentchange,high,price,low,watchers,hourchange,sentiment
0.4949,128.28,EA,0.4837,129.56,128.8,128.15,20704,1,0.0
0.4428,478.4,NOC,-0.6058,478.4,474.18,472.07,8041,0,8.57
0.6838,166.09,AAPL,-0.5846,167.87,166.65,165.56,878284,6,-2.47
1.7117,130.15,IBM,0.0317,130.98,126.36,125.84,51478,-1,4.14
0.4419,213.48,META,-1.2193,216.75,213.07,212.77,513000,5,-2.5
0.5575,220.5,ENPH,0.2319,226.26,224.79,219.31,37479,0,1.5
0.7877,103.53,AMZN,-0.4698,105.24,103.81,103.21,588838,3,-1.61
0.5128,30.76,INTC,-0.931,31.25,30.86,30.71,131293,0,-2.63
0.3562,8.3,CVNA,-7.3001,8.51,8.0,7.91,23278,-1,-7.04
0.7047,88.825,AMD,0.189,91.575,90.11,88.75,456929,4,-0.94
0.2431,5.0,AMC,-2.549,5.02,4.97,4.89,413195,0,0.39
0.791,276.71,NVDA,-2.9609,280.3,271.04,270.0,422013,4,1.57
0.7099,90.97,SONY,0.4507,92.275,91.38,90.915,2090,0,0.0
0.5805,103.91,GOOGL,1.0655,106.25,105.29,103.8684,160588,-2,-0.89
0.5018,5.98,SOFI,-2.6316,6.045,5.92,5.88,91966,3,-0.21
1.261,166.165,TSLA,-9.7458,169.55,162.99,160.56,892529,42,-6.2
0.5739,139.91,JPM,-0.2903,141.4299,140.81,140.17,82975,0,-1.35
0.5981,285.25,MSFT,-0.8112,289.03,286.11,285.08,443702,1,-2.88
