price,low,high,open,symbol,percentchange,relvolume,watchers,hourchange,sentiment
128.8,128.15,129.56,128.28,EA,0.4837,0.4949,20704,1,0.0
474.18,472.07,478.4,478.4,NOC,-0.6058,0.4428,8041,0,8.57
166.65,165.56,167.87,166.09,AAPL,-0.5846,0.6838,878284,6,-2.47
126.36,125.84,130.98,130.15,IBM,0.0317,1.7117,51478,-1,4.14
213.07,212.77,216.75,213.48,META,-1.2193,0.4419,513000,5,-2.5
224.79,219.31,226.26,220.5,ENPH,0.2319,0.5575,37479,0,1.5
103.81,103.21,105.24,103.53,AMZN,-0.4698,0.7877,588838,3,-1.61
30.86,30.71,31.25,30.76,INTC,-0.931,0.5128,131293,0,-2.63
8.0,7.91,8.51,8.3,CVNA,-7.3001,0.3562,23278,-1,-7.04
90.11,88.75,91.575,88.825,AMD,0.189,0.7047,456929,4,-0.94
4.97,4.89,5.02,5.0,AMC,-2.549,0.2431,413195,0,0.39
271.04,270.0,280.3,276.71,NVDA,-2.9609,0.791,422013,4,1.57
91.38,90.915,92.275,90.97,SONY,0.4507,0.7099,2090,0,0.0
105.29,103.8684,106.25,103.91,GOOGL,1.0655,0.5805,160588,-2,-0.89
5.92,5.88,6.045,5.98,SOFI,-2.6316,0.5018,91966,3,-0.21
162.99,160.56,169.55,166.165,TSLA,-9.7458,1.261,892529,42,-6.2
140.81,140.17,141.4299,139.91,JPM,-0.2903,0.5739,82975,0,-1.35
286.11,285.08,289.03,285.25,MSFT,-0.8112,0.5981,443702,1,-2.88
