relvolume,open,price,symbol,low,high,percentchange,watchers,hourchange,sentiment
0.4949,128.28,128.8,EA,128.15,129.56,0.4837,20704,0,0.0
0.4428,478.4,474.18,NOC,472.07,478.4,-0.6058,8041,0,8.57
0.6838,166.09,166.65,AAPL,165.56,167.87,-0.5846,878285,1,-2.83
1.7117,130.15,126.36,IBM,125.84,130.98,0.0317,51476,-2,4.14
0.4419,213.48,213.07,META,212.77,216.75,-1.2193,513000,0,-2.5
0.5575,220.5,224.79,ENPH,219.31,226.26,0.2319,37479,0,1.54
0.7877,103.53,103.81,AMZN,103.21,105.24,-0.4698,588848,10,-1.3
0.5128,30.76,30.86,INTC,30.71,31.25,-0.931,131291,-2,-2.63
0.3562,8.3,8.0,CVNA,7.91,8.51,-7.3001,23278,0,-7.97
0.7047,88.825,90.11,AMD,88.75,91.575,0.189,456931,2,-0.41
0.2431,5.0,4.97,AMC,4.89,5.02,-2.549,413196,1,0.1
0.791,276.71,271.04,NVDA,270.0,280.3,-2.9609,422014,1,1.57
0.7099,90.97,91.38,SONY,90.915,92.275,0.4507,2090,0,0.0
0.5805,103.91,105.29,GOOGL,103.8684,106.25,1.0655,160588,0,-0.82
0.5018,5.98,5.92,SOFI,5.88,6.045,-2.6316,91966,0,-0.21
1.261,166.165,162.99,TSLA,160.56,169.55,-9.7458,892550,21,-6.2
0.5739,139.91,140.81,JPM,140.17,141.4299,-0.2903,82975,0,-1.35
0.5981,285.25,286.11,MSFT,285.08,289.03,-0.8112,443702,0,-2.88
